activity_identifier,url,format,title,description,category_code,language_code,document_date
44000-P171269,http://documents.worldbank.org/curated/en/432741585339788909/pdf/Environmental-and-Social-Commitment-Plan-ESCP-Plastic-free-Rivers-and-Seas-for-South-Asia-P171269.pdf,application/pdf,Environmental and Social Commitment Plan,,A01,,
44000-P171269,http://documents.worldbank.org/curated/en/099010924102017405/pdf/P17126913c57b50019d511fb44a87aa674.pdf,application/pdf,Environmental and Social Management Plan,,A01,,
44000-P171269,http://documents.worldbank.org/curated/en/931111586299645920/pdf/Environmental-and-Social-Management-Framework-ESMF-Plastic-free-Rivers-and-Seas-for-South-Asia-P171269.pdf,application/pdf,Environmental and Social Management Plan,,A01,,
44000-P171269,http://documents.worldbank.org/curated/en/099121523114027438/pdf/P17126906665f50fc093a808b85283a4f08.pdf,application/pdf,Environmental and Social Management Plan,,A01,,
44000-P171269,http://documents.worldbank.org/curated/en/590961582917809600/pdf/Environmental-and-Social-Management-Framework-ESMF-Plastic-free-Rivers-and-Seas-for-South-Asia-P171269.pdf,application/pdf,Environmental and Social Management Plan,,A01,,
44000-P171269,http://documents.worldbank.org/curated/en/340231585339834579/pdf/Appraisal-Environmental-and-Social-Review-Summary-ESRS-Plastic-free-Rivers-and-Seas-for-South-Asia-P171269.pdf,application/pdf,Environmental and Social Review Summary,,A01,,
44000-P171269,http://documents.worldbank.org/curated/en/907321576100489695/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-Plastic-free-Rivers-and-Seas-for-South-Asia-P171269.pdf,application/pdf,Environmental and Social Review Summary,,A01,,
44000-P171269,http://documents.worldbank.org/curated/en/891301591063382724/pdf/South-Asia-Plastic-Free-Rivers-and-Seas-for-South-Asia-Project.pdf,application/pdf,Project Appraisal Document,,A01,,
44000-P171269,https://documents.worldbank.org/curated/en/099080524140519659/pdf/P171269-ebfa08b3-8144-407c-bb24-a370aec12acd.pdf,application/pdf,Implementation Status and Results Report,,A07,,
44000-P171269,http://documents.worldbank.org/curated/en/099032024095011378/pdf/P1712691a8aef40691a53417d73f84c8de7.pdf,application/pdf,Agreement,,A02,,
44000-P171269,http://documents.worldbank.org/curated/en/737651591621933380/pdf/Official-Documents-Financing-Agreement-for-Grant-D648-8S.pdf,application/pdf,Financing Agreement,,A02,,
44000-P171269,https://projects.worldbank.org/en/projects-operations/project-procurement/P171269,text/html,Contract Awards,,A11,,
44000-P171269,https://projects.worldbank.org/en/projects-operations/project-detail/P171269?lang=en,text/html,Project URL,,A12,,
44000-P171269,https://projects.worldbank.org/en/projects-operations/project-procurement/P171269,text/html,Procurement Notices,,A10,,
44000-P171054,http://documents.worldbank.org/curated/en/646971576190265314/pdf/Concept-Project-Information-Document-PID-Climate-Adaptation-and-Resilience-for-South-Asia-P171054.pdf,application/pdf,Project Information Document,,A02,,
44000-P171054,http://documents.worldbank.org/curated/en/568011586548726741/pdf/Environmental-and-Social-Commitment-Plan-ESCP-Climate-Adaptation-and-Resilience-for-South-Asia-P171054.pdf,application/pdf,Environmental and Social Commitment Plan,,A01,,
44000-P171054,http://documents.worldbank.org/curated/en/991881583286550351/pdf/Environmental-and-Social-Commitment-Plan-ESCP-Climate-Adaptation-and-Resilience-for-South-Asia-P171054.pdf,application/pdf,Environmental and Social Commitment Plan,,A01,,
44000-P171054,http://documents.worldbank.org/curated/en/539151583286580975/pdf/Appraisal-Environmental-and-Social-Review-Summary-ESRS-Climate-Adaptation-and-Resilience-for-South-Asia-P171054.pdf,application/pdf,Environmental and Social Review Summary,,A01,,
44000-P171054,http://documents.worldbank.org/curated/en/488381575930298371/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-Climate-Adaptation-and-Resilience-for-South-Asia-P171054.pdf,application/pdf,Environmental and Social Review Summary,,A01,,
44000-P171054,http://documents.worldbank.org/curated/en/546561589594553555/pdf/South-Asia-Climate-Adaptation-and-Resilience-for-South-Asia-CARE-Project.pdf,application/pdf,Project Appraisal Document,,A01,,
44000-P171054,https://documents.worldbank.org/curated/en/099120424043039480/pdf/P171054-a17c1330-8ade-4f04-8c66-b19f1591f3b3.pdf,application/pdf,Implementation Status and Results Report,,A07,,
44000-P171054,http://documents.worldbank.org/curated/en/623701590779696125/pdf/Official-Documents-Grant-Agreement-for-TF0B2642.pdf,application/pdf,Agreement,,A02,,
44000-P171054,http://documents.worldbank.org/curated/en/903301590779250359/pdf/Official-Documents-Financing-Agreement-for-Grant-No-D621-8S.pdf,application/pdf,Financing Agreement,,A02,,
44000-P171054,https://projects.worldbank.org/en/projects-operations/project-procurement/P171054,text/html,Contract Awards,,A11,,
44000-P171054,https://projects.worldbank.org/en/projects-operations/project-detail/P171054?lang=en,text/html,Project URL,,A12,,
44000-P171054,https://projects.worldbank.org/en/projects-operations/project-procurement/P171054,text/html,Procurement Notices,,A10,,
