activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
44000-P171269,result_3,indicator_44000-P171269_result_3_1,5,1,,IR2.1: Regional public and private engagement mechanism branded and operational,,2020,2020-04-09,No,
44000-P171269,result_4,indicator_44000-P171269_result_4_1,1,1,,PDO 1: Circular Plastic Economy Innovations developed and tested for application in participating South Asia countries,,2020,2020-02-27,0.00,
44000-P171269,result_5,indicator_44000-P171269_result_5_1,5,1,,IR2.1: Regional public and private engagement mechanism branded and operational,,2020,2020-04-09,No,
44000-P171269,result_6,indicator_44000-P171269_result_6_1,1,1,,"IR2.5: Annual convenings of regional organization heads, including government decision-makers to collaborate and coordinate on circular plastic economy policy solutions branded and operational",,2020,2020-04-09,0.00,
44000-P171269,result_7,indicator_44000-P171269_result_7_1,1,1,,PDO 2: Policies/standards /guidelines to promote a circular plastic economy harmonized and agreed by at least 3 countries at regional PPP convenings,,2020,2020-04-03,0.00,
44000-P171269,result_8,indicator_44000-P171269_result_8_1,1,1,,"IR2.5: Annual convenings of regional organization heads, including government decision-makers to collaborate and coordinate on circular plastic economy policy solutions branded and operational",,2020,2020-04-09,0.00,
44000-P171269,result_9,indicator_44000-P171269_result_9_1,2,1,,IR1.3: Share business development services to women (TA),,2020,2020-04-09,0.00,
44000-P171269,result_10,indicator_44000-P171269_result_10_1,1,1,,IR1.5: People reached in plastic pollution and mitigation awareness campaigns (disaggregated by country and sex),,2020,2020-04-09,0.00,
44000-P171269,result_11,indicator_44000-P171269_result_11_1,1,1,,IR1.2: Regional Competitive Block Grant Investments to Reduce Plastic Waste to women-owned enterprises or groups,,2020,2020-04-09,0.00,
44000-P171269,result_12,indicator_44000-P171269_result_12_1,1,1,,IR3.1: Training and capacity building provided to SACEP staff across all project functions,,2020,2020-04-09,0.00,
44000-P171269,result_13,indicator_44000-P171269_result_13_1,2,1,,IR1.3: Share business development services to women (TA),,2020,2020-04-09,0.00,
44000-P171269,result_14,indicator_44000-P171269_result_14_1,1,1,,PDO 1: Circular Plastic Economy Innovations developed and tested for application in participating South Asia countries,,2020,2020-02-27,0.00,
44000-P171269,result_15,indicator_44000-P171269_result_15_1,5,1,,IR1.4: Regional circular plastic economy innovations knowledge sharing hosted by SACEP operational,,2020,2020-04-09,No,
44000-P171269,result_16,indicator_44000-P171269_result_16_1,1,1,,IR2.2: Annual regional convening of public sector policy and decision makers with private sector representatives on sharing of PPP circular plastic economy solutions,,2020,2020-04-09,0.00,
44000-P171269,result_17,indicator_44000-P171269_result_17_1,1,1,,IR1.1: Regional Competitive Block Investments to Reduce Plastic Waste administered by SACEP (disaggregation by â€˜under implementationâ€™ and â€˜completedâ€™),,2020,2020-04-09,0.00,
44000-P171269,result_18,indicator_44000-P171269_result_18_1,1,1,,IR3.1: Training and capacity building provided to SACEP staff across all project functions,,2020,2020-04-09,0.00,
44000-P171269,result_19,indicator_44000-P171269_result_19_1,1,1,,IR1.5: People reached in plastic pollution and mitigation awareness campaigns (disaggregated by country and sex),,2020,2020-04-09,0.00,
44000-P171269,result_20,indicator_44000-P171269_result_20_1,1,1,,IR2.2: Annual regional convening of public sector policy and decision makers with private sector representatives on sharing of PPP circular plastic economy solutions,,2020,2020-04-09,0.00,
44000-P171269,result_21,indicator_44000-P171269_result_21_1,5,1,,PDO3: SACEPâ€™s institutional capacity strengthened to drive results for plastic pollution reduction across the region,,2020,2020-04-09,No,
44000-P171269,result_22,indicator_44000-P171269_result_22_1,5,1,,PDO3: SACEPâ€™s institutional capacity strengthened to drive results for plastic pollution reduction across the region,,2020,2020-04-09,No,
44000-P171269,result_23,indicator_44000-P171269_result_23_1,1,1,,IR1.1: Regional Competitive Block Investments to Reduce Plastic Waste administered by SACEP (disaggregation by â€˜under implementationâ€™ and â€˜completedâ€™),,2020,2020-04-09,0.00,
44000-P171269,result_24,indicator_44000-P171269_result_24_1,5,1,,IR1.4: Regional circular plastic economy innovations knowledge sharing hosted by SACEP operational,,2020,2020-04-09,No,
44000-P171269,result_25,indicator_44000-P171269_result_25_1,1,1,,IR2.3: National policies  reviewed with recommendations for revisions and/or action plans (disaggregated country),,2020,2020-04-09,0.00,
44000-P171269,result_26,indicator_44000-P171269_result_26_1,1,1,,PDO 2: Policies/standards /guidelines to promote a circular plastic economy harmonized and agreed by at least 3 countries at regional PPP convenings,,2020,2020-04-03,0.00,
44000-P171269,result_27,indicator_44000-P171269_result_27_1,1,1,,IR2.4: Consultations on marine litter actions carried out with targeted people and/or organizations in participating countries,,2020,2020-04-09,0.00,
44000-P171269,result_28,indicator_44000-P171269_result_28_1,1,1,,IR1.2: Regional Competitive Block Grant Investments to Reduce Plastic Waste to women-owned enterprises or groups,,2020,2020-04-09,0.00,
44000-P171054,result_1,indicator_44000-P171054_result_1_1,1,1,,Climate-informed decision-making tools and systems developed/enhanced in focus countries,,2020,2020-05-03,0.00,
44000-P171054,result_2,indicator_44000-P171054_result_2_1,1,1,,Sectoral investments supported to include climate risks and resilient design in select sectors,,2020,2020-05-08,0.00,
44000-P171054,result_3,indicator_44000-P171054_result_3_1,1,1,,National sectoral standards supported to incorporate climate resilience,,2020,2020-05-03,0.00,
44000-P171054,result_4,indicator_44000-P171054_result_4_1,1,1,,Districts receiving advisories issued by decision support systems developed under the project,,2024,2024-11-15,0,
44000-P171054,result_5,indicator_44000-P171054_result_5_1,2,1,,Users in select sectors satisfied with decision support systems and tools developed under the project,,2020,2020-05-08,0.00,
44000-P171054,result_6,indicator_44000-P171054_result_6_1,1,1,,A regional-level resilience data and analytics services platform (RDAS) developed and accessible,,2020,2020-05-03,0.00,
44000-P171054,result_7,indicator_44000-P171054_result_7_1,2,1,,"Trainees in select sectors satisfied based on the relevance, coherence, effectiveness, impact, and sustainability of training",,2020,2020-05-08,0.00,
44000-P171054,result_8,indicator_44000-P171054_result_8_1,2,1,,"Users in select sectors satisfied with access to data, information, and/or analytics in Regional Resilience Data and Analytics Services (RDAS) platform",,2020,2020-05-08,0.00,
44000-P171054,result_9,indicator_44000-P171054_result_9_1,1,1,,"Government officials trained to apply climate resilient standards and data analytics in policies, planning and investments",,2020,2020-05-03,0.00,
44000-P171054,result_10,indicator_44000-P171054_result_10_1,1,1,,"Number of community-based organizations trained to plan, design and manage risk-informed community infrastructure",,2020,2020-05-03,0.00,
44000-P171054,result_11,indicator_44000-P171054_result_11_1,1,1,,Innovative resilient solutions crowd sourced through Climate Innovation Challenge and TechEmerge Resilience Challenge,,2020,2020-05-03,0.00,
44000-P171054,result_12,indicator_44000-P171054_result_12_1,1,1,,Gender-disaggregated data analytics developed that contributes to narrow the gender gap in climate change vulnerability,,2020,2020-05-03,0.00,
44000-P171054,result_13,indicator_44000-P171054_result_13_1,1,1,,Citizens who have access to climate-resilient solutions tested under the project,,2020,2020-05-08,0.00,
44000-P171054,result_14,indicator_44000-P171054_result_14_1,1,1,,"National/sectoral policies, manuals, guidelines, and plans supported to incorporate climate resilience",,2020,2020-05-03,0.00,
44000-P171054,result_15,indicator_44000-P171054_result_15_1,1,1,,Climate resilience guidelines for key sector(s) developed,,2020,2020-05-03,0.00,
