activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,sector,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-500189,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,51350,NULL
XM-DAC-46007-500192,result_2,result_2_14,1,1,NULL,Salud,"Inversión en salud (equipo, tecnología)","Monto de los recursos del proyecto  para la obtención de productos tecnológicos y equipos que aportan al desarrollo del sector salud, incluyendo equipo médico, equipo no médico (como muebles y equipos de oficina), entre otros.",2016,NULL,0,NULL
XM-DAC-46007-500192,result_2,result_2_12,1,1,NULL,Salud,Área de construcción - salud,Cantidad de metros cuadrados construidos y rehabilitados por el proyecto correspondientes a infraestructura orientada a la atención del sector salud.,2016,NULL,13534,NULL
XM-DAC-46007-500192,result_2,result_2_11,1,1,NULL,Salud,Camas hospitalarias censables y no censables,"Cantidad de camas censables y no censables brindadas por el proyecto al hospital, clínica o centro de salud. Las camas censables son las camas de hospitalización utilizadas de forma regular para pacientes internos, controladas por admisión. Las camas no censables (o de tránsito) son para atenciones transitorias y de corta estancia, como observación o inicio de tratamiento. ",2016,NULL,120,NULL
XM-DAC-46007-500192,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,NULL,395822,NULL
XM-DAC-46007-500192,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500192,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500208,result_2,result_2_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,NULL,106820,NULL
XM-DAC-46007-500208,result_2,result_2_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500208,result_2,result_2_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500208,result_2,result_2_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500208,result_2,result_2_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500208,result_1,result_1_7,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de alcantarillado sanitario,Cantidad de conexiones domiciliarias de alcantarillado  nuevas y rehabilitadas como parte del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500213,result_2,result_2_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,NULL,243878,NULL
XM-DAC-46007-500213,result_2,result_2_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,25,NULL
XM-DAC-46007-500213,result_2,result_2_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500213,result_2,result_2_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,140,NULL
XM-DAC-46007-500213,result_1,result_1_7,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de alcantarillado sanitario,Cantidad de conexiones domiciliarias de alcantarillado  nuevas y rehabilitadas como parte del proyecto.,2016,NULL,1025,NULL
XM-DAC-46007-500213,result_1,result_1_6,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de agua potable,Cantidad de conexiones domiciliarias de agua potable nuevas y rehabilitadas como parte del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500218,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2016,NULL,992787,NULL
XM-DAC-46007-500218,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500218,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,41,NULL
XM-DAC-46007-500218,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2016,NULL,0,NULL
XM-DAC-46007-500218,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,NULL,275,NULL
XM-DAC-46007-500240,result_2,result_2_2,1,1,NULL,Víal,Longitud de carretera rehabilitada,Número de kilómetros rehabilitados en el proyecto. Este indicador solo se utiliza en la mejora de una carretera existente.,2017,NULL,0,NULL
XM-DAC-46007-500240,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,NULL,49126,NULL
XM-DAC-46007-500240,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500240,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,99,NULL
XM-DAC-46007-500240,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500240,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,1238,NULL
XM-DAC-46007-500248,result_2,result_2_4,1,1,NULL,Energía,Conexiones de energía,Cantidad de derivaciones o conexiones construidas desde la red de distribución del servicio eléctrico hacia la edificación o propiedad donde se hará uso de la energía eléctrica.,2017,NULL,79116,NULL
XM-DAC-46007-500248,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,NULL,0,NULL
XM-DAC-46007-500248,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,42,NULL
XM-DAC-46007-500248,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,41,NULL
XM-DAC-46007-500248,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,522,NULL
XM-DAC-46007-500248,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,414,NULL
XM-DAC-46007-500267,result_2,result_2_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,NULL,0,NULL
XM-DAC-46007-500267,result_2,result_2_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500267,result_2,result_2_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500267,result_2,result_2_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500267,result_2,result_2_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500267,result_1,result_1_7,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de alcantarillado sanitario,Cantidad de conexiones domiciliarias de alcantarillado  nuevas y rehabilitadas como parte del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500270,result_2,result_2_14,1,1,NULL,Salud,"Inversión en salud (equipo, tecnología)","Monto de los recursos del proyecto  para la obtención de productos tecnológicos y equipos que aportan al desarrollo del sector salud, incluyendo equipo médico, equipo no médico (como muebles y equipos de oficina), entre otros.",2018,NULL,0,NULL
XM-DAC-46007-500270,result_2,result_2_13,1,1,NULL,Salud,"Número de centros de atención médica (hospitales, centros de salud, etc) a intervenir","Cantidad de establecimientos de salud (hospitales, clínicas, centros de salud, puestos médicos u otras instalaciones sanitarias) beneficiados con obras de construcción, ampliación, rehabilitación o mantenimiento en el marco del proyecto.",2018,NULL,2,NULL
XM-DAC-46007-500270,result_2,result_2_12,1,1,NULL,Salud,Área de construcción - salud,Cantidad de metros cuadrados construidos y rehabilitados por el proyecto correspondientes a infraestructura orientada a la atención del sector salud.,2018,NULL,0,NULL
XM-DAC-46007-500270,result_2,result_2_11,1,1,NULL,Salud,Camas hospitalarias censables y no censables,"Cantidad de camas censables y no censables brindadas por el proyecto al hospital, clínica o centro de salud. Las camas censables son las camas de hospitalización utilizadas de forma regular para pacientes internos, controladas por admisión. Las camas no censables (o de tránsito) son para atenciones transitorias y de corta estancia, como observación o inicio de tratamiento. ",2018,NULL,820,NULL
XM-DAC-46007-500270,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2018,NULL,84040,NULL
XM-DAC-46007-500270,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2018,NULL,640,NULL
XM-DAC-46007-500270,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2018,NULL,650,NULL
XM-DAC-46007-500270,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2018,NULL,1085,NULL
XM-DAC-46007-500270,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2018,NULL,1101,NULL
XM-DAC-46007-500271,result_2,result_2_14,1,1,NULL,Salud,"Inversión en salud (equipo, tecnología)","Monto de los recursos del proyecto  para la obtención de productos tecnológicos y equipos que aportan al desarrollo del sector salud, incluyendo equipo médico, equipo no médico (como muebles y equipos de oficina), entre otros.",2017,NULL,0,NULL
XM-DAC-46007-500271,result_2,result_2_12,1,1,NULL,Salud,Área de construcción - salud,Cantidad de metros cuadrados construidos y rehabilitados por el proyecto correspondientes a infraestructura orientada a la atención del sector salud.,2017,NULL,0,NULL
XM-DAC-46007-500271,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,NULL,20500,NULL
XM-DAC-46007-500271,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,295,NULL
XM-DAC-46007-500271,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500271,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,518,NULL
XM-DAC-46007-500276,result_2,result_2_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,NULL,0,NULL
XM-DAC-46007-500276,result_2,result_2_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500276,result_2,result_2_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500276,result_2,result_2_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500276,result_2,result_2_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500276,result_1,result_1_7,1,1,NULL,Agua y Sanemiento,Conexiones domiciliarias de alcantarillado sanitario,Cantidad de conexiones domiciliarias de alcantarillado  nuevas y rehabilitadas como parte del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500316,result_2,result_2_2,1,1,NULL,Víal,Longitud de carretera rehabilitada,Número de kilómetros rehabilitados en el proyecto. Este indicador solo se utiliza en la mejora de una carretera existente.,2017,NULL,0,NULL
XM-DAC-46007-500316,result_2,result_2_1,1,1,NULL,Víal,Longitud de carretera nueva,"Número de kilómetros de carretera construidos en el proyecto, que corresponde a la superficie preparada para el   tránsito de vehículos motorizados, de por lo  menos dos ejes, con  características geométricas definidas de acuerdo a las normas técnicas vigentes.",2017,NULL,0,NULL
XM-DAC-46007-500316,result_1,result_1_28,1,1,NULL,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,NULL,21404,NULL
XM-DAC-46007-500316,result_1,result_1_27,2,1,NULL,Efectos,Empleos temporales mujeres %,Cantidad de mujeres con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500316,result_1,result_1_26,1,1,NULL,Efectos,Empleos fijos mujeres,Cantidad de mujeres con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500316,result_1,result_1_25,1,1,NULL,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2017,NULL,0,NULL
XM-DAC-46007-500316,result_1,result_1_24,1,1,NULL,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2017,NULL,0,NULL
