activity_identifier,url,format,title,tile_lang,description,description_lang,category_code,lenguage_code,document_date
XM-DAC-46007-500767,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2287 TRAMO A- REPUBLICA HONDURAS2.pdf,application/pdf,CTO PTMO 2287 TRAMO A- REPUBLICA HONDURAS,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-01-08
XM-DAC-46007-500179,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2177 REPUBLICA DE HONDURAS1.pdf,application/pdf,CTO PTMO 2177 REPUBLICA DE HONDURAS,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2017-02-25
XM-DAC-46007-500640,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2261 REPUBLICA DE HONDURAS1.pdf,application/pdf,CTO PTMO 2261 REPUBLICA DE HONDURAS,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-07
XM-DAC-46007-500446,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2239 REPUBLICA DE HONDURAS.pdf,application/pdf,CTO PTMO 2239 REPUBLICA DE HONDURAS,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2020-06-29
XM-DAC-46007-500749,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Prestamo 2291 X Programa MTI NIC firmado 13 06 22.pdf,application/pdf,Contrato Prestamo 2291 X Programa MTI NIC firmado 13 06 22,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-06-30
XM-DAC-46007-501148,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO 2339 ALIMENTAR III - ARGENTINA fdo 16dic24.pdf,application/pdf,CTO 2339 ALIMENTAR III - ARGENTINA fdo 16dic24,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2024-12-16
XM-DAC-46007-500818,"https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PMO 2301 SEGURIDAD CIUDADANA, ARG.pdf",application/pdf,"CTO PMO 2301 SEGURIDAD CIUDADANA, ARG",es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2024-09-26
XM-DAC-46007-500692,https://bcie2014.sharepoint.com/:b:/s/DocPub/EcTDjXBiMDtMnrIvPqQAVWsB2rzH9zFHx5KCyA4-aIpR-A,application/pdf,Contrato de Préstamo No. 2271,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-06-23
XM-DAC-46007-500845,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/BCIE- CONTRATO No. 2302 firmado.pdf,application/pdf,BCIE- CONTRATO No. 2302 firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-02-17
XM-DAC-46007-500834,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2295 Español - 1.pdf,application/pdf,Contrato de Préstamo 2295 Español - 1,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-10-22
XM-DAC-46007-500891,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo OPD Sector Energético y Acción Climática-firmado.pdf,application/pdf,Contrato Préstamo OPD Sector Energético y Acción Climática-firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-10-25
XM-DAC-46007-500791,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Prestamo núm. 2289 firmado -BCIE_opt.pdf,application/pdf,Contrato de Prestamo núm. 2289 firmado -BCIE_opt,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-08-04
XM-DAC-46007-500681,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo No. 2277 (Executed 03-11-21).pdf,application/pdf,Contrato de Préstamo No. 2277 (Executed 03-11-21),es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-11-03
XM-DAC-46007-501114,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo- TB1 Libramiento El Progreso PCR (firmado 5AGO24).pdf,application/pdf,Contrato Préstamo- TB1 Libramiento El Progreso PCR (firmado 5AGO24),es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2024-08-05
XM-DAC-46007-500860,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2306 Los Chorros II.pdf,application/pdf,CTO PTMO 2306 Los Chorros II,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-12-15
XM-DAC-46007-500877,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Pmo 2315 BCIE Argentina firmado 15dic22.pdf,application/pdf,Contrato Pmo 2315 BCIE Argentina firmado 15dic22,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-12-15
XM-DAC-46007-500890,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2313_Casa Amor_Firmado 17abr23.pdf,application/pdf,Contrato de Préstamo 2313_Casa Amor_Firmado 17abr23,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-04-17
XM-DAC-46007-500940,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo No.2322 Programa de Apoyo al Plan Nacional Argentina contra el hambreII firmado.pdf,application/pdf,Contrato de Préstamo No.2322 Programa de Apoyo al Plan Nacional Argentina contra el hambreII firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-03-16
XM-DAC-46007-500832,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de prestamo 2300.pdf,application/pdf,Contrato de prestamo 2300,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-11-29
XM-DAC-46007-500930,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato No. 2318 BCIE_opt.pdf,application/pdf,Contrato No. 2318 BCIE_opt,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-12-19
XM-DAC-46007-500544,https://bcie2014.sharepoint.com/:b:/s/DocPub/EZax1dIiiglAiuqr4iswc2YBkSz413PMdEAR7TYgUzoMKw,application/pdf,CTO PTMO 2247 REPUBLICA DE EL SALVADOR,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-20
XM-DAC-46007-500864,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO-PMO 2314 ARGENTINA.pdf,application/pdf,CTO-PMO 2314 ARGENTINA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-05-09
XM-DAC-46007-500738,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo firmado OPD BCIE_opt.pdf,application/pdf,Contrato de Préstamo firmado OPD BCIE_opt,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-08-09
XM-DAC-46007-500858,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2298 - NI.pdf,application/pdf,CTO PTMO 2298 - NI,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-06-29
XM-DAC-46007-500701,https://bcie2014.sharepoint.com/:b:/s/DocPub/ERL0-pQwnwFMp39YSM5KubQBSZFbVefWzPHwiAMJcxjucg,application/pdf,Contrato Prestamo No. 2278 ,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-06-11
XM-DAC-46007-500459,https://bcie2014.sharepoint.com/:b:/s/DocPub/EUSyUdXo9LdJv2kTXUfzKKEBQ0I7O3S0MqBzrsF64t8iBg,application/pdf,CTO PTMO 2240 REPUBLICA DE EL SALVADOR,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-12
XM-DAC-46007-500470,https://bcie2014.sharepoint.com/:b:/s/DocPub/EXTDXgTaulJOqhTEESiuHekBXVONpc73r8OIGbiV_M1hcg,application/pdf,CTO PTMO 2243-REPUBLICA DE EL SALVADOR,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-09
XM-DAC-46007-500642,https://bcie2014.sharepoint.com/:b:/s/DocPub/Eey8na6YAUVNpSHIG2coAssBtx3rlJ1YxmQhC75b1keggQ,application/pdf,CONTRATO DE PRÉSTAMO 2262 BCIE RNP TRAMO C (2),es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-06-30
XM-DAC-46007-500853,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PMO 2296 REPUBLICA DE EL SALVADOR.pdf,application/pdf,CTO PMO 2296 REPUBLICA DE EL SALVADOR,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-08-10
XM-DAC-46007-500338,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PRESTAMO 2220 REPÚBLICA COSTA RICA.pdf,application/pdf,CTO PRESTAMO 2220 REPÚBLICA COSTA RICA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-05-11
XM-DAC-46007-500497,https://bcie2014.sharepoint.com/:b:/s/DocPub/EYgpLnT_9WpLtT82uyrXPioB18QzrkUmljxkLDU47UtJYg,application/pdf,CTO PTMO 2254 REPUBLICA DE EL SALVADOR,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-08
XM-DAC-46007-500717,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 CTO PTMO 2222 - Republica de Nicaragua NI.pdf,application/pdf,ADENDA 1 CTO PTMO 2222 - Republica de Nicaragua NI,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-07-16
XM-DAC-46007-500684,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2270 REPÚBLICA COSTA RICA.pdf,application/pdf,CTO PTMO 2270 REPÚBLICA COSTA RICA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-10-01
XM-DAC-46007-500422,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2231 IX Programa Carreteras MTI Firmado 9 10 19.pdf,application/pdf,Contrato Préstamo 2231 IX Programa Carreteras MTI Firmado 9 10 19,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2019-10-09
XM-DAC-46007-500626,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2050 PNESER (Adendum IV Tramo C) Firmado 19 02 21.pdf,application/pdf,Contrato Préstamo 2050 PNESER (Adendum IV Tramo C) Firmado 19 02 21,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-02-19
XM-DAC-46007-500248,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2050 (Adendum II) Firmado.pdf,application/pdf,Contrato Préstamo 2050 (Adendum II) Firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2017-11-24
XM-DAC-46007-500507,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2245 PNC Viviendas IS Firmado 18 08 20.pdf,application/pdf,Contrato Préstamo 2245 PNC Viviendas IS Firmado 18 08 20,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2020-08-18
XM-DAC-46007-500349,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2222 Mejoramiento Capacidades PCorinto Firmado 18 09 18.pdf,application/pdf,Contrato Préstamo 2222 Mejoramiento Capacidades PCorinto Firmado 18 09 18,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2018-09-18
XM-DAC-46007-500569,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2154 (Adendum) Nejapa Nandaime por COVID19 Firmada 11 06 20.pdf,application/pdf,Contrato Préstamo 2154 (Adendum) Nejapa Nandaime por COVID19 Firmada 11 06 20,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2020-06-11
XM-DAC-46007-500240,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2194 ALMA Pista JP II.pdf,application/pdf,Contrato de Préstamo 2194 ALMA Pista JP II,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2017-06-21
XM-DAC-46007-500316,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2211 MTI VII Programa Mejoramto y Ampl de Carreteras.pdf,application/pdf,Contrato de Préstamo 2211 MTI VII Programa Mejoramto y Ampl de Carreteras,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2018-02-22
XM-DAC-46007-302411,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2141 ENACAL firmado.pdf,application/pdf,Contrato de Préstamo 2141 ENACAL firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2014-11-20
XM-DAC-46007-500645,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2263 NIC Solidaria Firmado 3 12 20.pdf,application/pdf,Contrato Préstamo 2263 NIC Solidaria Firmado 3 12 20,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2020-12-03
