activity_identifier,contact_type,organisation,department,person_name,job_title,telephone,email,website,mailing_address
XM-DAC-46008-cfa008548,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010973,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009545,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011872,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003441,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008729,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012503,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012641,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003624,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa007902,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010613,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012422,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011318,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012320,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003735,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012119,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012677,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010852,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012400,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003619,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010824,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011807,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011177,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012116,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003792,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010180,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010689,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008680,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011744,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010784,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011411,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010938,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008550,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008700,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012279,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008313,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003476,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012339,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012700,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012373,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011501,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008390,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012016,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010059,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011342,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012391,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011022,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011408,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010099,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003069,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010199,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011307,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011752,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012460,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa007946,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008945,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012160,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012564,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003442,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011677,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012704,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012206,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009731,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011994,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012050,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003477,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011063,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009757,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010713,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009204,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012275,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011459,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003412,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011191,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011189,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008748,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa007990,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000002469,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011827,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012093,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008741,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011456,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012334,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010061,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003683,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003580,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009759,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011906,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010209,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009272,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011790,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003406,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011061,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003492,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012056,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012596,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010675,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012325,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008791,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012442,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012569,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011489,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012694,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011057,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009919,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfc012385,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa902406,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012064,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003443,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011997,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011175,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011740,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011247,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010641,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008471,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011781,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009660,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012061,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000000620,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012205,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012265,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010730,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011652,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010873,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa010703,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009458,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003481,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011960,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011052,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012351,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003530,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003813,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa008734,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009225,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012652,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003500,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011585,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003444,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa012668,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003438,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003529,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfl0000003483,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa009282,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011699,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
XM-DAC-46008-cfa011545,1,CAF Development bank of Latin America and the Caribbean,,,,,transparencia@caf.com,https://www.caf.com,"Torre CAF, Av Luis Roche Altamira, Caracas"
