activity_identifier,org_ref,org_name,org_name_lang,org_type,role,activity_id,crs_channel_code
XM-DAC-46008-cfa010613,,Administradora Nacional de Electricidad - ANDE,,,4,,
XM-DAC-46008-cfa012422,,GOBIERNO DE LA PROVINCIA DE JUJUY,,,4,,
XM-DAC-46008-cfa011318,,PREFECTURA MUNICIPAL DE GUARULHOS,,,4,,
XM-DAC-46008-cfa012320,,Gobierno Autónomo Departamental de Santa Cruz (GADSCZ),,,4,,
XM-DAC-46008-cfl0000003735,,FONDO FINANCIERO PARA EL DESARROLLO DE LA CUENCA DEL PLATA - FONPLATA,,,4,,
XM-DAC-46008-cfa012119,,Ministerio de Energía y Minas del Ecuador,,,4,,
XM-DAC-46008-cfa012677,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa010852,,Administradora Nacional de Electricidad - ANDE,,,4,,
XM-DAC-46008-cfa012400,,REPúBLICA DE EL SALVADOR,,,4,,
XM-DAC-46008-cfl0000003619,,BANCO IMPROSA S.A.,,,4,,
XM-DAC-46008-cfa010824,,MUNICIPIO DE CAMAçARI,,,4,,
XM-DAC-46008-cfa011807,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa011177,,INSTITUTO DE VIVIENDA DE LA CIUDAD,,,4,,
XM-DAC-46008-cfa012116,,Ministerio de Transporte,,,4,,
XM-DAC-46008-cfl0000003792,,AGENCIA FINANCIERA DE DESARROLLO,,,4,,
XM-DAC-46008-cfa010180,,MINISTERIO DE TRANSPORTE,,,4,,
XM-DAC-46008-cfa010689,,Casa Civil do Estado do Pará,,,4,,
XM-DAC-46008-cfa008680,,ESTADO DE SAO PAULO,,,4,,
XM-DAC-46008-cfa011744,,Ministerio de obras públicas de la nación,,,4,,
XM-DAC-46008-cfa010784,,REPúBLICA DE PANAMá,,,4,,
XM-DAC-46008-cfa011411,,Dirección de Vialidad de la Provincia de Buenos Aires,,,4,,
XM-DAC-46008-cfa010938,,COMPAñIA METROPOLITANO DE SãO PAULO,,,4,,
XM-DAC-46008-cfa008550,,FONDO DE CAPITAL PRIVADO AMERIGO VENTURES PACíFICO,,,4,,
XM-DAC-46008-cfa008700,,Comisión Nacional de Actividades Espaciales (CONAE),,,4,,
XM-DAC-46008-cfa012279,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa008313,,"Latin Renewables Infrastructure Fund, Lp",,,4,,
XM-DAC-46008-cfl0000003476,,Banco Bolivariano,,,4,,
XM-DAC-46008-cfa012339,,GOBIERNO PROVINCIAL DE MANABí,,,4,,
XM-DAC-46008-cfa012700,,REPúBLICA DE EL SALVADOR,,,4,,
XM-DAC-46008-cfa012373,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa011501,,Secretaría de Innovación Pública de Jefatura del Gabinete de Ministros,,,4,,
XM-DAC-46008-cfa008390,,COMPAñíA HIDROLóGICA VENEZOLANA - HIDROVéN,,,4,,
XM-DAC-46008-cfa012016,,CORPORACIóN NACIONAL DE FINANZAS POPULARES Y SOLIDARIAS,,,4,,
XM-DAC-46008-cfa010059,,UNIDAD DE COORDINACION Y EJECUCION DE OBRAS DEL MINIST INFRAESTRUCT PROV BS AS,,,4,,
XM-DAC-46008-cfa011342,,UNIDAD DE COORDINACION Y EJECUCION DE OBRAS DEL MINIST INFRAESTRUCT PROV BS AS,,,4,,
XM-DAC-46008-cfa012391,,MINISTERIO DE EDUCACIóN Y CULTURA,,,4,,
XM-DAC-46008-cfa011022,,Secretaría Municipal de Obras,,,4,,
XM-DAC-46008-cfa011408,,MINISTERIO DE OBRAS PúBLICAS Y COMUNICACIONES DE PARAGUAY,,,4,,
XM-DAC-46008-cfa010099,,MINISTERIO DEL INTERIOR OBRAS PúBLICAS Y VIVIENDA,,,4,,
XM-DAC-46008-cfl0000003069,,Banco do Nordeste do Brasil S.A. BNB,,,4,,
XM-DAC-46008-cfa010199,,Ministerio de Obras Públicas y Comunicaciones de Paraguay,,,4,,
XM-DAC-46008-cfa011307,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfa011752,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa012460,,SECRETARIA DE INFRAESTRUTURA,,,4,,
XM-DAC-46008-cfa007946,,"MEXICO VENTURES I, L.P.",,,4,,
XM-DAC-46008-cfa008945,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfa012160,,MINISTERIO DE TRANSPORTE,,,4,,
XM-DAC-46008-cfa012564,,EMPRESA DE LOS FERROCARRILES DEL ESTADO – EFE TRENES DE CHILE,,,4,,
XM-DAC-46008-cfl0000003442,,Davivienda Panamá,,,4,,
XM-DAC-46008-cfa011677,,Unidad de Gestión - Provincia de Santa Fe,,,4,,
XM-DAC-46008-cfa012704,,MINISTERIO DE OBRAS PúBLICAS Y COMUNICACIONES DE PARAGUAY,,,4,,
XM-DAC-46008-cfa012206,,REPúBLICA DE PANAMá,,,4,,
XM-DAC-46008-cfa009731,,Darby Latin American Debt Fund III,,,4,,
XM-DAC-46008-cfa011994,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa012050,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfl0000003477,,Agencia de Fomento Paraná S.A.,,,4,,
XM-DAC-46008-cfa011063,,MUNICIPIO DE SANTO ANDRE,,,4,,
XM-DAC-46008-cfa009757,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa010713,,MINISTERIO DE EDUCACIóN,,,4,,
XM-DAC-46008-cfa009204,,COMPAñíA HIDROLóGICA VENEZOLANA - HIDROVéN,,,4,,
XM-DAC-46008-cfa012275,,INTENDENCIA DEPARTAMENTAL DE PAYSANDU,,,4,,
XM-DAC-46008-cfa011459,,Unidad Provincial de Enlace y Ejecución de Proyectos con Financiamiento Externo,,,4,,
XM-DAC-46008-cfl0000003412,,Santander Chile,,,4,,
XM-DAC-46008-cfa011191,,Fondo Fiduciario Federal de Infraestructura Regional,,,4,,
XM-DAC-46008-cfa011189,,UNIDAD DE COORDINACION Y EJECUCION DE OBRAS DEL MINIST INFRAESTRUCT PROV BS AS,,,4,,
XM-DAC-46008-cfa008748,,"FINANCIERA DE DESARROLLO NACIONAL, S.A.",,,4,,
XM-DAC-46008-cfa007990,,"Glisco Partners III, L.P.",,,4,,
XM-DAC-46008-cfl0000002469,,"BANCOP,  BANCO PARA LA COMERCIALIZACIóN Y LA PRODUCCIóN S.A.",,,4,,
XM-DAC-46008-cfa011827,,SECRETARIA DE INFRAESTRUTURA,,,4,,
XM-DAC-46008-cfa012093,,REPúBLICA ADMINISTRADORA DE FONDOS DE INVERSIóN S.A - RAFISA,,,4,,
XM-DAC-46008-cfa008741,,MINISTERIO DE EDUCACIóN Y CULTURA,,,4,,
XM-DAC-46008-cfa011456,,INSTITUTO NACIONAL DE FORMACIóN PROFESIONAL Y CAPACITACIóN PARA EL DESARROLLO HU,,,4,,
XM-DAC-46008-cfa012334,,GOBIERNO PROVINCIAL DE GUAYAS,,,4,,
XM-DAC-46008-cfa010061,,UNIDAD DE COORDINACION Y EJECUCION DE OBRAS DEL MINIST INFRAESTRUCT PROV BS AS,,,4,,
XM-DAC-46008-cfl0000003683,,BANCO PARA EL FOMENTO A INCIATIVAS ECONOMICAS S.A. - BANCO FIE S.A.,,,4,,
XM-DAC-46008-cfl0000003580,,Banco de Desarrollo Productivo S.A.M.,,,4,,
XM-DAC-46008-cfa009759,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa011906,,SECRETARIA DE INFRAESTRUTURA,,,4,,
XM-DAC-46008-cfa010209,,UNIDAD DE COORDINACION Y EJECUCION DE OBRAS DEL MINIST INFRAESTRUCT PROV BS AS,,,4,,
XM-DAC-46008-cfa009272,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa011790,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfl0000003406,,"Corporación Interamericana para el Financiamiento de Infraestructura, S.A.",,,4,,
XM-DAC-46008-cfa011061,,GRUPO VIAL ORIENTAL UNO S.A.,,,4,,
XM-DAC-46008-cfl0000003492,,BANCO DE GUAYAQUIL S.A.,,,4,,
XM-DAC-46008-cfa012056,,INSTITUTO TéCNICO SUPERIOR ESPECIALIZADO - ITSE,,,4,,
XM-DAC-46008-cfa012596,,MUNICIPIO DE UBERABA,,,4,,
XM-DAC-46008-cfa010675,,Ministerio de Obras Públicas,,,4,,
XM-DAC-46008-cfa012325,,MINISTERIO DE TRANSPORTE Y OBRAS PúBLICAS,,,4,,
XM-DAC-46008-cfa008791,,INSTITUTO NACIONAL DE METEOROLOGíA Y HIDROLOGíA,,,4,,
XM-DAC-46008-cfa012442,,MUNICIPIO DE SãO BERNARDO DO CAMPO,,,4,,
XM-DAC-46008-cfa012569,,MINISTERIO DE ECONOMíA Y FINANZAS PúBLICAS,,,4,,
XM-DAC-46008-cfa011489,,Ministerio de Transporte y Comunicaciones,,,4,,
XM-DAC-46008-cfa012694,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa011057,,EMPRESA PúBLICA MUNICIPAL DE TELECOMUNICACIONES AGUA POTABLE ALCANTARILLADO Y S,,,4,,
XM-DAC-46008-cfa009919,,Ministerio de Infraestructura y obras civiles de Catamarca,,,4,,
XM-DAC-46008-cfc012385,,REPúBLICA DE EL SALVADOR,,,4,,
XM-DAC-46008-cfa902406,,Sa Impact Forestry Fund,,,4,,
XM-DAC-46008-cfa012064,,MINISTERIO DE EDUCACIóN Y CULTURA,,,4,,
XM-DAC-46008-cfl0000003443,,GLOBAL BANK CORPORATION,,,4,,
XM-DAC-46008-cfa011997,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa011175,,MINISTERIO DE TRANSPORTE,,,4,,
XM-DAC-46008-cfa011740,,Muy Ilustre Municipalidad de Guayaquil,,,4,,
XM-DAC-46008-cfa011247,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa010641,,Prefectura Municipal de Palmas,,,4,,
XM-DAC-46008-cfa008471,,"AMERICAS ENERGY FUND II, L.P",,,4,,
XM-DAC-46008-cfa011781,,DIRECCION GENERAL DE CULTURA Y EDUCACIóN DE LA PROVINCIA DE BUENOS AIRES,,,4,,
XM-DAC-46008-cfa009660,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa012061,,Ministerio de Hacienda,,,4,,
XM-DAC-46008-cfl0000000620,,Banco Bradesco,,,4,,
XM-DAC-46008-cfa012205,,REPúBLICA DE EL SALVADOR,,,4,,
XM-DAC-46008-cfa012265,,MUNICIPALIDAD DE CUENCA,,,4,,
XM-DAC-46008-cfa010730,,Ministerio de Transporte y Obras Públicas,,,4,,
XM-DAC-46008-cfa011652,,Administradora Nacional de Electricidad - ANDE,,,4,,
XM-DAC-46008-cfa010873,,Corporación Financiera Nacional CFN,,,4,,
XM-DAC-46008-cfa010703,,Dirección Nacional de Vialidad,,,4,,
XM-DAC-46008-cfa009458,,"Ministerio de Agricultura, Ganadería y Pesca (MAGyP), a través de la Dirección General de Programas y Proyectos Sectoriales y Especiales (DIPROSE ]",,,4,,
XM-DAC-46008-cfl0000003481,,Banco del Pacífico,,,4,,
XM-DAC-46008-cfa011960,,AGENCIA NACIONAL DE DISCAPACIDAD,,,4,,
XM-DAC-46008-cfa011052,,"MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO.",,,4,,
XM-DAC-46008-cfa012351,,MUNICIPIO DE SANTOS,,,4,,
XM-DAC-46008-cfl0000003530,,BBVA Colombia S.A.,,,4,,
XM-DAC-46008-cfl0000003813,,Banco de Desarrollo y Exportaciones (BANDEX),,,4,,
XM-DAC-46008-cfa008734,,Corporación Financiera Nacional CFN,,,4,,
XM-DAC-46008-cfa009225,,MINISTERIO DEL PODER POPULAR PARA ECOSOCIALISMO Y AGUAS,,,4,,
XM-DAC-46008-cfa012652,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfl0000003500,,BANCO PICHINCHA C.A.,,,4,,
XM-DAC-46008-cfa011585,,Ministerio de Transporte,,,4,,
XM-DAC-46008-cfl0000003444,,Nacional Financiera (NAFIN),,,4,,
XM-DAC-46008-cfa012668,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfl0000003438,,Banco Latinoamericano de Comercio Exterior S.A.,,,4,,
XM-DAC-46008-cfl0000003529,,Banco Davivienda S.A.,,,4,,
XM-DAC-46008-cfl0000003483,,Banco Internacional S.A.,,,4,,
XM-DAC-46008-cfa009282,,Fondo de Deuda Senior Colombia Cafam Ashmore I,,,4,,
XM-DAC-46008-cfa011699,,Ministerio de Obras Públicas y Comunicaciones del Paraguay,,,4,,
XM-DAC-46008-cfa011545,,MINISTERIO DE EDUCACIóN CIENCIA Y TECNOLOGíA,,,4,,
XM-DAC-46008-cfa008889,,Aurus Capital S.A. (FIP Aurus Ventures III y III – B),,,4,,
XM-DAC-46008-cfa011618,,Ministerio de Finanzas y Asuntos Económicos de Barbados,,,4,,
XM-DAC-46008-cfa010639,,MUNICIPIO DE SALVADOR,,,4,,
XM-DAC-46008-cfa011297,,MUNICIPIO DE SãO BERNARDO DO CAMPO,,,4,,
XM-DAC-46008-cfl0000003545,,Banco Sudameris,,,4,,
XM-DAC-46008-cfa011634,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa902404,,"Vinci Climate Change A, LP",,,4,,
XM-DAC-46008-cfa011746,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfa011218,,Secretaría de Estado da Fazenda de Alagoas,,,4,,
XM-DAC-46008-cfl0000003203,,Desenvolve Sp Agência de Fomento do Estado de São Paulo S/A,,,4,,
XM-DAC-46008-cfa008919,,MINISTERIO DE ECONOMIA Y FINANZAS PúBLICAS,,,4,,
XM-DAC-46008-cfa009609,,ESTADO PLURINACIONAL DE BOLIVIA,,,4,,
XM-DAC-46008-cfa012132,,INTENDENCIA MUNICIPAL DE CANELONES,,,4,,
XM-DAC-46008-cfa011886,,ELECTRIFICADORA DE SANTANDER S.A.,,,4,,
XM-DAC-46008-cfa011027,,BANECUADOR,,,4,,
XM-DAC-46008-cfa008570,,"NORTHGATE MEXICO, L.P.",,,4,,
XM-DAC-46008-cfa010751,,INTERNET PARA TODOS S.A.C.,,,4,,
XM-DAC-46008-cfa010491,,PREFECTURA MUNICIPAL DE TERESINA,,,4,,
XM-DAC-46008-cfa009626,,REPúBLICA DE COLOMBIA,,,4,,
XM-DAC-46008-cfa011840,,SECRETARíA DE HACIENDA DEL MUNICIPIO DE SãO CAETANO DO SUL,,,4,,
XM-DAC-46008-cfa011497,,MUNICIPALIDAD DE CUENCA,,,4,,
XM-DAC-46008-cfa008604,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa012375,,GOBIERNO AUTóNOMO DESCENTRALIZADO DEL MUNICIPIO DE DAULE,,,4,,
XM-DAC-46008-cfa012190,,BANCO DE GUAYAQUIL S.A.,,,4,,
XM-DAC-46008-cfa009238,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfa008608,,CRB Bio II,,,4,,
XM-DAC-46008-cfl0000003265,,Banco de Desenvolvimento de Minas Gerais S.A.,,,4,,
XM-DAC-46008-cfl0000003432,,Banco de Comercio Exterior S.A. (Bancoldex),,,4,,
XM-DAC-46008-cfa010793,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa008424,,STRATUS SCP II BRASIL FUNDO DE INVESTIMENTO EM PARTICIPAçõES - MULTIESTRATéGIA,,,4,,
XM-DAC-46008-cfa004488,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfl0000003533,,SCOTIABANK CHILE (ANTES BBVA CHILE),,,4,,
XM-DAC-46008-cfa004506,,COLONY LATIN AMERICA FUND I-A L.P.,,,4,,
XM-DAC-46008-cfa012251,,Administración Nacional de Acueductos y Alcantarillados (ANDA),,,4,,
XM-DAC-46008-cfa012572,,GOBIERNO DE BARBADOS,,,4,,
XM-DAC-46008-cfa902408,,"DIC LATIN AMERICAN FUND IV, LP",,,4,,
XM-DAC-46008-cfa009331,,FONDO ASHMORE ANDINO II – FCP,,,4,,
XM-DAC-46008-cfa008349,,"NEXXUS CAPITAL PRIVATE EQUITY FUND VI, L.P",,,4,,
XM-DAC-46008-cfa010524,,GENNEIA VIENTOS ARGENTINOS S.A. Y GENNEIA VIENTOS DEL SUR S.A.,,,4,,
XM-DAC-46008-cfa012076,,MINISTERIO DE SALUD PúBLICA,,,4,,
XM-DAC-46008-cfl0000003445,,"BANCO NACIONAL DE COMERCIO EXTERIOR, MéXICO",,,4,,
XM-DAC-46008-cfa007352,,"MINISTERIO DE PLANIFICACIóN FEDERAL, INVERSIóN PúBLICA Y SERVICIOS, ARGENTINA",,,4,,
XM-DAC-46008-cfa012048,,GOBIERNO AUTóNOMO DESCENTRALIZADO DEL MUNICIPIO DE SAMBORONDóN,,,4,,
XM-DAC-46008-cfa000866,,BANCO DE DESARROLLO PRODUCTIVO S.A.M.,,,4,,
XM-DAC-46008-cfa012150,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfa010521,,Municipio de Caucaia,,,4,,
XM-DAC-46008-cfa012135,,GOBIERNO AUTóNOMO DESCENTRALIZADO DEL MUNICIPIO DE CHONE,,,4,,
XM-DAC-46008-cfl0000003686,,BANCO DE BOGOTá (COLOMBIA),,,4,,
XM-DAC-46008-cfa012200,,MUNICIPIO DE JUNDIAí,,,4,,
XM-DAC-46008-cfa010989,,MINISTERIO DE DESARROLLO URBANO Y VIVIENDA (MIDUVI),,,4,,
XM-DAC-46008-cfa011299,,MUNICIPIO DE MOGI DAS CRUZES,,,4,,
XM-DAC-46008-cfa011060,,MUNICIPIO DE ARAGUAíNA,,,4,,
XM-DAC-46008-cfa011779,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfa009103,,CAF - ASSET MANAGEMENT CORPORATION,,,4,,
XM-DAC-46008-cfa009787,,ESTADO PLURINACIONAL DE BOLIVIA,,,4,,
XM-DAC-46008-cfa008132,,"FONDO DE FONDOS MéXICO II, L.P.",,,4,,
XM-DAC-46008-cfa010823,,CIRCUITO VIAL 3 S.A.,,,4,,
XM-DAC-46008-cfa012147,,MINISTERIO DE OBRAS PúBLICAS Y COMUNICACIONES DE PARAGUAY,,,4,,
XM-DAC-46008-cfa012360,,ESTADO DO ESPIRITO SANTO,,,4,,
XM-DAC-46008-cfa010867,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa004496,,MINISTERIO DE ECONOMíA Y FINANZAS DE PERú,,,4,,
XM-DAC-46008-cfa011860,,MINISTRY OF WORKS AND TRANSPORT,,,4,,
XM-DAC-46008-cfa007644,,FUNDO FINHEALTH I - FUNDO DE INVESTIMENTO EM PARTICIPAçõES EM EMPRESAS EMERGENTES INOVADORAS,,,4,,
XM-DAC-46008-cfa011100,,INFRAESTRUCTURA EDUCATIVA II S.A.,,,4,,
XM-DAC-46008-cfa009854,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfa008779,,"COMPAñIA ESPAñOLA DE FINANCIACION DEL DESARROLLO, COFIDES, S.A., S.M.E.",,,4,,
XM-DAC-46008-cfa011733,,DEPARTAMENTO NACIONAL DE PLANEACION DE COLOMBIA,,,4,,
XM-DAC-46008-cfa011815,,COMPAñIA METROPOLITANO DE SãO PAULO,,,4,,
XM-DAC-46008-cfa011783,,SECRETARíA DE AGRICULTURA GANADERíA Y PESCA,,,4,,
XM-DAC-46008-cfa012474,,PROVINCIA DE NEUQUéN,,,4,,
XM-DAC-46008-cfa010968,,MINISTERIO DE ECONOMíA Y FINANZAS PúBLICAS,,,4,,
XM-DAC-46008-cfc008353,,PLANTA DE RESERVA FRíA DE GENERACIóN DE ETEN S.A.,,,4,,
XM-DAC-46008-cfa008003,,óRIA TECH 1 - FUNDO DE INVESTIMENTO EM PARTICIPAçõES MULTIESTRATéGIA,,,4,,
XM-DAC-46008-cfa008868,,PARTNERS GROUP MEX ENERGY INFRA 2014 LP,,,4,,
XM-DAC-46008-cfa011686,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfa011447,,GRUPO SAN JOSé,,,4,,
XM-DAC-46008-cfa009120,,"TALDE CAPITAL CRECIMIENTO, F.C.R.",,,4,,
XM-DAC-46008-cfa012044,,GAS NATURAL DE LIMA Y CALLAO S.A.,,,4,,
XM-DAC-46008-cfa011072,,BARBADOS WATER AUTHORITY,,,4,,
XM-DAC-46008-cfa008272,,CAPITAL TECH II - FUNDO DE INVESTIMENTO EM PARTICIPAçõES MULTIESTRATéGIA,,,4,,
XM-DAC-46008-cfa012634,,REPúBLICA DE EL SALVADOR,,,4,,
XM-DAC-46008-cfa010362,,GENNEIA VIENTOS ARGENTINOS S.A. Y GENNEIA VIENTOS DEL SUR S.A.,,,4,,
XM-DAC-46008-cfa011054,,UGP Aparecida de Goiania,,,4,,
XM-DAC-46008-cfa008788,,GENERADORA DE ENERGIA DEL PERU S.A,,,4,,
XM-DAC-46008-cfa010726,,DESARROLLO VIAL AL MAR SAS,,,4,,
XM-DAC-46008-cfa010131,,SEC. GOV. REL. INSTS DO MUTUáRIO,,,4,,
XM-DAC-46008-cfa012330,,MUY ILUSTRE MUNICIPALIDAD DE GUAYAQUIL,,,4,,
XM-DAC-46008-cfa011792,,SECRETARIA MUNICIPAL DA INFRAESTRUTURA,,,4,,
XM-DAC-46008-cfa007407,,GOBIERNO DE LA PROVINCIA DE PICHINCHA,,,4,,
XM-DAC-46008-cfa010801,,BANCO DEL ESTADO,,,4,,
XM-DAC-46008-cfl0000003213,,Banco Regional de Desenvolvimento do Extremo Sul (BRDE),,,4,,
XM-DAC-46008-cfc003359,,MINISTERIO DE ECONOMíA Y FINANZAS DE PERú,,,4,,
XM-DAC-46008-cfa006993,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa011553,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfa012226,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa008787,,GENERADORA DE ENERGIA DEL PERU S.A,,,4,,
XM-DAC-46008-cfa009148,,REPúBLICA DE COLOMBIA,,,4,,
XM-DAC-46008-cfa005648,,"DARBY LATIN AMERICAN MEZZANINE FUND II, L.P.",,,4,,
XM-DAC-46008-cfa008439,,INOVAçãO PAULISTA - FUNDO DE INVESTIMENTO EM PARTICIPAçõES MULTIESTRATéGIA,,,4,,
XM-DAC-46008-cfa005320,,MINISTERIO DE OBRAS PúBLICAS Y TRANSPORTES,,,4,,
XM-DAC-46008-cfa009482,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfa011967,,MINISTERIO DE SALUD PúBLICA,,,4,,
XM-DAC-46008-cfa008457,,CORPORACIóN VIAL DEL URUGUAY,,,4,,
XM-DAC-46008-cfa006534,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa007786,,MUNICIPIO DE FORTALEZA,,,4,,
XM-DAC-46008-cfa008959,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa011016,,SECRETARIA MUNICIPAL DE GOVERNO,,,4,,
XM-DAC-46008-cfa011846,,ADMINISTRACIóN NACIONAL DE USINAS Y TRANSMISIONES ELéCTRICAS - UTE,,,4,,
XM-DAC-46008-cfa006697,,"TRG LATIN AMERICA PRIVATE EQUITY FUND I, L.P",,,4,,
XM-DAC-46008-cfa009410,,AGENCIA CORDOBA DE INVERSION Y FINANCIAMIENTO,,,4,,
XM-DAC-46008-cfa008949,,MUNICIPALIDAD DE QUITO,,,4,,
XM-DAC-46008-cfa011691,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa012332,,GOBIERNO DE LA PROVINCIA DE PICHINCHA,,,4,,
XM-DAC-46008-cfa007485,,SECRETARIA METRO DE PANAMA,,,4,,
XM-DAC-46008-cfa011346,,Ministerio de Infraestructura Pública y Servicios Públicos de la Provincia de Buenos Aires,,,4,,
XM-DAC-46008-cfa012054,,MINISTERIO DE OBRAS PúBLICAS Y COMUNICACIONES DE PARAGUAY,,,4,,
XM-DAC-46008-cfa006763,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfl0000004056,,"BANCOP,  BANCO PARA LA COMERCIALIZACIóN Y LA PRODU",,,4,,
XM-DAC-46008-cfc007956,,H2OLMOS S.A.,,,4,,
XM-DAC-46008-cfa009174,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa006987,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfa011968,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa012253,,Ministerio de Gobernación y Desarrollo Territorial (MINGOBDT),,,4,,
XM-DAC-46008-cfa007372,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa012565,,MUNICIPIO DE SALVADOR,,,4,,
XM-DAC-46008-cfa011682,,REPúBLICA DEL ECUADOR,,,4,,
XM-DAC-46008-cfa010628,,Ministerio de Obras Públicas y Comunicaciones del Paraguay,,,4,,
