activity_identifier,description_type,description_sequence,narrative,narrative_lang,narrative_sequence
XM-DAC-46008-cfa012670,2,1,"Lograr una eficiente provisión de infraestructura y servicios de transporte y logística en el eslabón zona de producción-centro de acopio, en regiones con potencial exportador, en desarrollo de transformación productiva y con potencial de consolidación de cargas.",,1
XM-DAC-46008-cfa012670,1,2,"La segunda fase del Programa PROREGIóN comprende el mejoramiento a nivel de soluciones básicas de 4.162 km y la conservación por niveles de servicio de 6.929 km de carreteras regionales distribuidos en quince corredores viales en 12 regiones, 57 provincias, 259 distritos y una población total beneficiaria de 3,6 millones de personas, al año 2023.  El financiamiento de CAF está destinado a financiar, parcialmente, nueve de los quince corredores, distribuidos a lo largo del país. ",,1
XM-DAC-46008-cfa011196,2,1,Fortalecer la capacidad de respuesta del sistema de salud del Ecuador para atender la emergencia sanitaria ocasionada por el COVID-19.,,1
XM-DAC-46008-cfa011196,1,2,"Los recursos del Préstamo estarán destinados a financiar los siguientes rubros relacionados con la atención y/o prevención de la emergencia sanitaria ocasionada por el COVID-19 (la” Emergencia”) : (i) gastos e inversiones consignados en el presupuesto general del Estado, de conformidad con las acciones priorizadas por el MEF – MSP para atender la emergencia sanitaria COVID 19 en Ecuador< (ii) Impuestos  asociados a los gastos previstos en el literal (i) anterior< (iii)Auditoría Externa, y (iv) la Comisión de Financiamiento del Préstamo.",,1
XM-DAC-46008-cfa012714,2,1,"Reconocer los avances que ha logrado Panamá en materia de gestión forestal y estimular la continuidad de políticas que fomenten el manejo sostenible de los bosques, la conservación de los ecosistemas y el financiamiento verde.",,1
XM-DAC-46008-cfa012714,1,2,"La operación está estructurada en tres componentes clave, que buscan fortalecer la política forestal y consolidar la inversión en el sector: i) Fortalecimiento de la gobernanza y regulación forestal< ii) Estrategias de financiamiento verde< y iii) Gestión sostenible de los recursos forestales",,1
XM-DAC-46008-cfa012067,2,1,"El objetivo general del Programa es apoyar la modernización del Sistema Nacional Educativo, mediante la adecuación, adaptación y rehabilitación de la infraestructura educativa, bajo un nuevo modelo arquitectónico y un modelo pedagógico que garantice el acceso universal, inclusivo y de calidad a estudiantes de zonas rurales y urbano marginales.  ",,1
XM-DAC-46008-cfa012067,1,2,"""De forma específica, el Programa busca en tres (3) años:   (i)\tadecuar y/o ampliar 124 de las 1.000 Instituciones Educativas (IE) priorizadas dentro del Programa de Reapertura Educativa en instituciones ubicadas en comunidades rurales y urbano marginales<  (ii)\trehabilitar y/o reconstruir 5 de las 31 IE incluidas dentro del Plan de Contingencia ejecutado en las provincias de Manabí y Santo Domingo de los Tsáchilas para intervenir instituciones pertenecientes al Proyecto “Siglo XXI”< y  (iii)\tfortalecer y mejorar la calidad de la educación mediante la dotación de mobiliario y equipos escolares. """,,1
XM-DAC-46008-cfa012418,2,1,Contribuir al desarrollo productivo de la Provincia de Entre Ríos a través de la mejora de la conectividad vial.,,1
XM-DAC-46008-cfa012418,1,2,"""En el Programa se prevé la ejecución de 3 proyectos por aproximadamente 84 km (reconstrucción de vía Viale-Arroyo """"Durazno"""" (RP 34,33,43,31), Rafael-Puiggari y reconstrucción de calzada - calle urquiza, y Acceso San Rafael) que incluyen obras básicas viales para mejorar características técnicas del camino existente, previendo en algunos casos la regularización del ancho de la calzada y la reconstrucción de banquinas para homologar los estándares de servicio del corredor, rehabilitación y ensache de puentes, adecuación de terraplenes y alcantarillas a las condiciones hidrológicas críticas. """,,1
XM-DAC-46008-cfa011999,2,1,Contribuir al desarrollo económico y social del Estado Plurinacional de Bolivia mediante el financiamiento de estudios de preinversión para la conformación de una cartera de proyectos de inversión pública estratégicos acordes con la Agenda Patriótica 2025 y el Plan de Desarrollo Económico y Social (PDES) 2021-2025.,,1
XM-DAC-46008-cfa011999,1,2,"El Programa Multisectorial de Preinversión II (PROMULPRE II) financiará estudios de preinversión para la conformación de una cartera de proyectos estratégicos en el área de infraestructura económica, social y ambiental a nivel nacional, departamental y municipal. El alcance del Programa abarcará los siguientes sectores: agua potable, alcantarillado, saneamiento, riego, drenaje urbano, tratamiento de agua residuales, recolección y disposición de residuos sólidos, desarrollo urbano y territorial, transporte vial, fluvial y energía. Los beneficiarios del PROMULPRE II serán los ministerios, gobiernos departamentales, gobiernos municipales y otras instituciones públicas relacionadas con el desarrollo nacional. Estas instituciones deben integrar el Sistema Nacional de Inversión Pública (SNIP) y aplicar las normas básicas del mismo. ",,1
XM-DAC-46008-cfa011694,2,1,"Mejorar las condiciones de tránsito del tramo vial entre Santa Rosa, La Florida y Puente Villa de la ruta Unduavi-Chulumani, mediante la ejecución de obras de mejoramiento y pavimentación de la carretera para incrementar la seguridad vial del mismo, favoreciendo la conectividad interna del Departamento de La Paz.",,1
XM-DAC-46008-cfa011694,1,2,"El Proyecto consiste en la construcción del Tramo 2 (La Florida - Santa Rosa -– Puente Villa), que forma parte de la carretera Unduavi-Chulumani, con una intervención prevista de 16,6 km sobre un total de extensión aproximada de 70 km. El Tramo 2, se subdivide en sección A y B. En la sección A (7 km) se ejecutaron intervenciones en el pasado y la inversión objeto de este financiamiento corresponde a obras complementarias pendientes y sobre todo de seguridad vial. La sección B (9,6 km) es la que requiere mayor intervención en construcción y une las localidades de Santa Rosa con Puente Villa. Adicionalmente, forman parte del Proyecto la actualización de los estudios de los Tramos 1 y 3.",,1
XM-DAC-46008-cfa008548,2,1,"Mejorar la cobertura de la educación básica, pre media y media, la equidad y calidad del sistema educativo de Panamá, mediante la construcción y/o remodelación y equipamiento de ocho centros educativos, distribuidos en tres provincias: Panamá, Chiriquí y Veraguas, con una población total beneficiaria estimada aproximada a diez mil estudiantes.",,1
XM-DAC-46008-cfa008548,1,2,"""Las escuelas integrales introducen un nuevo enfoque en el entorno educativo, que consiste en proveer en un solo lugar la educación preescolar, básica y media a una escala que permita tanto atender la nueva matrícula como retener al grupo de estudiantes que deserta del nivel medio, aumentando las posibilidades de que los estudiantes completen su ciclo escolar.  Con el fin de alcanzar el objetivo señalado, el PAMIE ha sido estructurado en los siguientes 4 componentes:  •\tComponente I: Infraestructura Escolar. Comprende la construcción de escuelas integrales que abarcan los niveles de pre-escolar, básica y media en áreas urbanas y semi-urbanas de la República de Panamá< y (b) la ampliación, rehabilitación y modernización de escuelas existentes en áreas urbanas y rurales.    •\tComponente II: Equipamiento y Mobiliario. Comprende la adquisición del equipamiento y mobiliario necesario para las escuelas del componente I, incluyendo, entre otros, equipos para laboratorios de ciencias e informáticos, bibliotecas y espacios deportivos,  mobiliario para aulas, y unidades administrativas y de servicios como comedores, cocina y enfermería.  •\tComponente III: Inspección de Obras y Fortalecimiento Institucional.  Este componente financiará los costos de asesoría y supervisión de las obras, estudios técnicos complementarios, asistencia técnica y capacitación del personal, y las auditorías externas. El propósito de estas actividades es garantizar la calidad y eficiencia de las inversiones y optimizar la utilización de la infraestructura.  •\tComponente IV. Imprevistos y otros costos. Este componente está dirigido a financiar potenciales incrementos en el costo de las obras debido a aumentos en el índice de precios de materiales de construcción (IPMC) u ocurrencias no previstas en el plan de contingencias de  las obras. """,,1
XM-DAC-46008-cfa010973,2,1,"Contribuir a la mejora de la movilidad urbana y accesibilidad del Municipio de Contagem, por medio de inversiones en infraestructura de transportes y desarrollo social.",,1
XM-DAC-46008-cfa010973,1,2,"El programa consta de un componente consolidado de obras a lo largo del Municipio dividido en 4 subcomponentes: 1.1) Corredor Estructural Este-Oeste, incluyendo 3 viaductos: el viaducto CEASA, Viaducto Av. Das Américas, Viaducto Av. Helena Vasconcelos y la vía de retorno del Parque linear Sarandí< 1.2) Corredor Estructural Norte-Sur, que incluye la rehabilitación de la infraestructura viaria para implantar el Sistema BRT, las estaciones de transferencia del mismo y las estaciones intermodales Sede y Darcy Ribeiro< 1.3) Obras y estudios de sostenibilidad urbana, engloba la rehabilitación del Parque Sarandí y el Boulevard Portugal así como los estudios de impacto ambiental y huella de carbono y 1.4) Obras y estudios complementarios, que comprenden la rehabilitación de infraestructura viaria.",,1
XM-DAC-46008-cfa009545,2,1,Mejorar e incrementar la infraestructura vial nacional y favorecer las condiciones de integración regional a través de la duplicación parcial de la Ruta Vial Fundamental N° 4 entre las localidades de Confital y Bombeo.,,1
XM-DAC-46008-cfa009545,1,2,"El Proyecto contempla la construcción y pavimentación de una segunda vía en el tramo que une las localidades de Confital y Bombeo a lo largo de 44,6 km. El Proyecto forma parte de la Red Vial Fundamental, pertenece al corredor este–oeste que es uno de los ejes de integración regional, política y económica más importantes de Bolivia, y contribuye a integrar este país con Brasil y Chile.",,1
XM-DAC-46008-cfa011872,2,1,"Universalizar el acceso al agua potable y alcantarillado sanitario, en localidades litorales, así como mejorar las condiciones ambientales, la mitigación a la resiliencia climática contribuyendo con del desarrollo sostenible del turismo y de la actividad económica del Estado de Ceará.",,1
XM-DAC-46008-cfa011872,1,2,"El Programa está sustentado en distintos planes de desarrollo y alineado tanto con los objetivos de la Agenda de Desarrollo Sostenible como la Estrategia de CAF en Brasil. Enmarcado específicamente en intervenciones integrales para el sector Agua, contribuirá a la mejora de servicios en 9 localidades costeras, atendiendo problemáticas vinculadas a baja cobertura, saturación de las redes existentes y presión sobre los ecosistemas que no permiten incrementar capacidades de recepción de turistas para atender de forma sostenible mayores flujos de demanda. Se prevé beneficiar de manera directa a aproximadamente 59.723 personas mediante la construcción o rehabilitación de 18 plantas de agua potable y aguas residuales, implementación de aproximadamente 15.181 conexiones y 228 km de redes de agua potable y alcantarillado sanitario, entre otros. Por otro lado, se prevé la capacitación ambiental de aproximadamente 1.800 funcionarios públicos y profesionales del sector turístico a través de 60 cursos especializados. ",,1
XM-DAC-46008-cfl0000003441,2,1,"Financiamiento de  operaciones de comercio exterior, capital de trabajo y proyectos de inversión de los clientes del banco incluyendo proyectos de eficiencia energética y negocios verdes, capital de trabajo del banco, emisión y confirmación de cartas de crédito y emisión de garantías y/o avales.",,1
XM-DAC-46008-cfl0000003441,1,2,"Línea de Crédito Revolvente No Comprometida por un monto de USD $75.000.000,00",,1
XM-DAC-46008-cfa008729,2,1,"Como objetivo general se procura optimizar la transitabilidad de las redes de caminos nacionales y departamentales de tres departamentos fronterizos de Paraguay, contribuyendo así a una eficiente integración productiva entre las diferentes regiones del país, y entre este último y sus países vecinos. De esta manera se facilitará el transporte de bienes en corredores productivos departamentales, regionales e internacionales, favoreciendo la competitividad del Paraguay mediante una consecuente vertebración interna de su red vial. ",,1
XM-DAC-46008-cfa008729,1,2,"El Programa, a ser ejecutado en 4 años, comprende obras viales de rehabilitación, mejoramiento y pavimentación de 398 km de vías sobre las redes nacional y departamental, localizadas en tres departamentos fronterizos con Brasil, Argentina y Bolivia. Combina inversiones en infraestructura de rutas y elaboración de estudios de preinversión, además de otras actividades menores para fortalecer la planificación y conservación de la red vial del Paraguay. ",,1
XM-DAC-46008-cfa012503,2,1,"El Programa tiene como objetivo general Invertir en Complejos Integrados Sostenibles en los territorios de Porto Alegre para atender y reducir la vulnerabilidad climática de la población, descentralizados y enfocados a comunidades con menor IDH, con prestación de servicios, infraestructura resiliente, orientación, ocio, arte, calificación e innovación que permitan la construcción de políticas efectiva y formación de una ciudadanía plena. El Programa también buscará apoyar en la reconstrucción de infraestructuras que hayan sufrido daños por ocasión de los eventos climáticos de mayo de 2024 en la ciudad, las cuales sean priorizadas por el Municipio.",,1
XM-DAC-46008-cfa012503,1,2,"El Programa prevé financiar obras, equipamientos y servicios vinculados a la infraestructura y ordenamiento urbano en barrios vulnerables del MPOA, incluyendo infraestructura básica y espacios públicos, además de costos de preinversión vinculados y de fortalecimiento institucional para la gestión y supervisión de las inversiones previstas. Además, el Programa califica como 100% verde. A tales efectos, la operación se estructura en los siguientes 3 componentes: (i) Complejos Integrados Territoriales y otras Obras< (ii) Unidad Gestora del Programa y (iii) Otros Gastos. Se estima un número total de beneficiarios directos en por lo menos 127.000 personas, pero es importante destacar que toda la población del municipio se beneficiará indirectamente de las acciones del Programa. En las intervenciones a ejecutar se destaca: (i) Implementar Complejos Integrados Territoriales para brindar servicios públicos en los territorios y atender a la población en situación de vulnerabilidad y riesgo social y climático< (ii) Promover inversiones en infraestructura inclusiva y ambientalmente sostenible en territorios y zonas de riesgo que permitan la mejora de las condiciones de movilidad, accesibilidad, saneamiento, salud, educación, y seguridad< (iii) Ampliar y fortalecer proyectos e instrumentos de gestión de riesgos y desastres para apoyar la toma de decisiones y garantizar inversiones eficientes, innovadoras y sostenibles< y (iv) Apoyar en la reconstrucción de infraestructuras que hayan sufrido daños por ocasión de los eventos climáticos de mayo de 2024. Cabe destacar que los complejos integrados prevén la descentralización de la prestación de servicios municipales, brindando espacios para la enseñanza, el deporte, la cultura, el ocio, la calificación técnica y la innovación, permitiendo la reconstrucción, recuperación y construcción post-desastre, contribuyendo a la resiliencia frente a eventos climáticos extremos. ",,1
XM-DAC-46008-cfa012641,2,1,"El objetivo general del Programa es reforzar la infraestructura del sistema de distribución y mejorar la calidad y continuidad del suministro de electricidad a los clientes finales en el área de influencia del Programa, a la vez que se reducen las pérdidas de energía y se apoya la sostenibilidad comercial de las EDEs en las zonas del Programa.",,1
XM-DAC-46008-cfa012641,1,2,"Las intervenciones consideran la rehabilitación de siete circuitos, priorizados por su impacto comercial y operativo, en las redes de distribución de las provincias de Santo Domingo, Samaná, La Altagracia, Peravia, Barahona y San Cristóbal, localizadas en áreas de servicio de las tres EDEs, beneficiando directamente a 92.342 clientes del servicio eléctrico, aproximadamente unas 277 mil personas.",,1
XM-DAC-46008-cfl0000003624,1,1,"Línea de Crédito Revolvente No Comprometida por un monto de USD $200.000.000,00",,1
XM-DAC-46008-cfl0000003624,2,2," Financiamiento y/ garantías para los clientes del banco de los segmentos micro, pequeña y mediana empresa, Se Financia operaciones de comercio exterior, capital de trabajo, adquisición de equipos y bienes de capital y proyectos de inversiones de los clientes del banco<  Asimismo se financia capital de trabajo del banco. También se apoya la emisión de garantías y/o avales y se apoya programas del banco para financiar a sus clientes en proyectos de eficiencia energética, cogeneración y negocios verdes. ",,1
XM-DAC-46008-cfa007902,2,1,"Mejorar la oferta, la confiabilidad y la calidad del agua potable que se distribuye en la República Bolivariana de Venezuela, mediante la ampliación, rehabilitación y optimización de un primer grupo de plantas potabilizadoras, seleccionadas entre las mayores siete plantas de potabilización del país",,1
XM-DAC-46008-cfa007902,1,2,"Comprende las inversiones para la rehabilitación, modernización y optimización de 7 de las más importantes plantas de potabilización de Venezuela. Se espera ejecutar este componente a partir de la priorización de inversiones por grupos de plantas potabilizadoras, comenzando por las plantas más críticas y de mayor impacto. 3. Fortalecimiento institucional. Comprende las actividades relativas al fortalecimiento de la gestión del Organismo Ejecutor, tanto durante la ejecución del Programa como durante la fase de operación y mantenimiento posterior a la ejecución de las inversiones. 4. Otros Rubros. Corresponde a costos de supervisión e inspección del Programa, gestión ambiental y social, contratación de la auditoría externa y costos financieros. ",,1
XM-DAC-46008-cfa010613,2,1,"Incrementar la capacidad de transformación y transmisión del sistema eléctrico que abastece al área metropolitana de Asunción y a los departamentos de Caaguazú y Alto Paraná, así como disminuir el índice de fallas e interrupciones en el suministro de energía eléctrica en el sistema de distribución del área metropolitana. Este objetivo se alcanzará mediante la construcción de obras de ampliación, mejoras y refuerzos de las redes eléctricas respectivas.  ",,1
XM-DAC-46008-cfa010613,1,2,"El Proyecto mejorará el desempeño del suministro del Sistema Metropolitano, principal centro de carga del Sistema Interconectado Nacional (SIN), el cual concentra el 57% de la demanda y suministro de energía eléctrica a la principal zona de actividad comercial e industrial del país. Asimismo, mejorará la calidad del servicio con tensiones estables en el sistema de transmisión de Asunción y de los departamentos de Caaguazú y Alto Paraná, lo que permitirá atender el crecimiento de la demanda con un servicio de mayor confiabilidad y favorecerá el desarrollo económico y la calidad de vida de la población.",,1
XM-DAC-46008-cfa012422,2,1,"Apoyar las mejoras de la equidad y el acceso a una educación pertinente y de calidad, a través de la creación y el fortalecimiento de la infraestructura educativa, y la vinculación de las trayectorias educativas con la capacitación laboral y formación profesional en adolescentes, jóvenes y adultos con foco en la innovación y el desarrollo productivo de la provincia.",,1
XM-DAC-46008-cfa012422,1,2,"El Programa se estructura en los siguientes tres componentes:   3.1. Componente I: Infraestructura Educativa  Incluye la construcción y equipamiento mobiliario de edificios escolares, la supervisión independiente de obras, el fortalecimiento de los equipos técnicos para su ejecución y el desarrollo e implementación de un sistema de monitoreo y evaluación de la infraestructura educativa.   Este componente financiará los siguientes 2 subcomponentes:  1.1: Ampliación y mejoramiento de la Cobertura. Incluye la construcción y equipamiento mobiliario de 55 nuevos edificios escolares en los cuales operarán 63 instituciones educativas, 16 de las cuales tendrán como finalidad la formación de competencias laborales para contribuir a la vinculación de sus estudiantes, de acuerdo al siguiente detalle:  1.2: Preinversión y Supervisión. Este subcomponente financiará la preinversión, gestión y supervisión de obras< la supervisión técnica, ambiental y social de las obras< el fortalecimiento del equipo técnico de la Secretaría de Infraestructura Educativa PROMACE (SIEP), para llevar adelante las tareas de preinversión y cualquier otra que sea necesaria para la ejecución del componente y el desarrollo e implementación de un sistema de gestión que contribuya a la eficientización de la gestión de las áreas del Ministerio de Educación a cargo de la infraestructura educativa.  3.2. Componente II: Vinculación con el contexto productivo  Con el fin de mejorar la calidad educativa y su vinculación con el trabajo, se financiará la actualización de los contenidos curriculares de las escuelas técnicas y agrotécnicas, y se implementarán ofertas formativas, en particular técnicas y profesionales, que posibiliten el desarrollo, de competencias, habilidades y capacidades requeridas por ocupaciones alineadas a la demanda laboral de la provincia y contribuyan a aumentar sus posibilidades de inserción laboral dentro de la comunidad. Este componente financiará: · adquisición de equipamiento, maquinaria, herramientas y suministros para la instalación de 17 Aulas Taller Fija (ATF), en 17 escuelas secundarias orientadas para el desarrollo de cursos de capacitación laboral. · adquisición de 21 Aulas Taller Móvil (ATM) para el desarrollo de cursos de capacitación laboral. · adquisición de equipamiento para la instalación de un Centro de Simulación en San Salvador de Jujuy, para el desarrollo de cursos de capacitación laboral en manejo y mantenimiento de maquinaria pesada, incluyendo la compra de 16 simuladores, así como también, la adquisición de mobiliario y equipamiento general para el dictado de los correspondientes cursos, incluyendo pupitres, sillas, computadora y proyector, entre otros. · contratación de consultorías y asistencias técnicas destinadas a: desarrollar los contenidos y usos pedagógicos del equipamiento adquirido en el marco del Programa< actualizar los contenidos curriculares de las escuelas técnicas y agrotécnicas< implementar las nuevas currículas y capacitar a los docentes y cualquier otra actividad que oportunamente se considere necesaria.  3.3. Componente III: Administración y Gestión del Programa  Este componente, financiará la gestión administrativa del Programa de modo de garantizar una mayor eficacia y eficiencia en la asignación de los recursos. Las principales acciones de este componente son: el monitoreo y la evaluación del programa y el fortalecimiento de equipos técnicos a cargo de la ejecución y la administración y gestión del Programa. Asimismo, este componente financiará la comisión al organismo financiador y los costos correspondientes a la evaluación del Programa. Con respecto a la Auditoría Externa del Programa, la misma será llevada adelante por parte del Tribunal de Cuentas de la Provincia de Jujuy, al igual que en su primera etapa de ejecución.",,1
XM-DAC-46008-cfa011318,2,1,"Mejorar la capacidad de los sistemas de drenaje y control de inundaciones en la cuenca del río Baquirivu-Guaçu y promover la recuperación ambiental, social y la resiliencia climática, además de mejorar la conectividad vial y la movilidad en el Municipio de Guarulhos.",,1
XM-DAC-46008-cfa011318,1,2,"El Programa considera una inversión total de USD 120,0 MM, siendo el financiamiento de CAF equivalente a USD 96,0 MM (80,0%). El objetivo del Programa es mejorar la capacidad de los sistemas de drenaje y control de inundaciones en la cuenca del Río Baquirivu-Guaçu y promover la recuperación ambiental, social y la resiliencia climática, además de mejorar la conectividad vial y la movilidad en el Municipio de Guarulhos. En este sentido, el Programa se estructuró en tres componentes (1. Macrodrenaje e infraestructura urbana y social< 2. Gestión del Programa< y 3. Otros gastos) incluyendo obras, proyectos y estudios. El Programa también incluye recursos destinados a: (i) la gestión del Programa, mediante la contratación de una firma de apoyo al gerenciamiento, auditoría y supervisión técnica< y (ii) otros gastos (comisión de financiamiento y gastos de evaluación).  ",,1
XM-DAC-46008-cfa012320,2,1,"Mejorar la calidad de vida de comunidades y de productores rurales a través de la construcción de la primera fase (1ra fase) de una carretera de longitud total de 91 km (Faja Norte – Norte Integrado), que unirá la región norte del Departamento de Santa Cruz con el resto del país, mejorando el intercambio comercial, la conectividad e la integración, en el marco del Corredor Este-Oeste de Bolivia. ",,1
XM-DAC-46008-cfa012320,1,2,"El Proyecto contempla la pavimentación de un tramo de 30 km de un camino rural existente, actualmente en ripio, ubicado en el Municipio de Yapacaní, Departamento de Santa Cruz, del Estado Plurinacional de Bolivia. Asimismo, prevé la construcción, de una carretera en pavimiento rígido con carriles de circulación de 3.5 m y bermas de 1.5 m en tratamiento superficial e incluye, además: la construcción de tres (3) puentes, obras de drenaje y la implementación de señalización vertical y horizontal de la vía. Ese tramo de 30 km corresponde a la primera fase del Proyecto “Faja Norte-Norte Integrado”, el cual, por su vez, cuenta con una longitud total de 91,95 km y se conecta con la Red Vial Fundamental no.4 (RVF4), también nombrado “Corredor Este-Oeste”. En efecto, al conectarse al mencionado Corredor, se prevé una reducción de los costos logísticos de transporte de carga y pasajeros, cumpliendo así una función de integración y articulación dentro del territorio boliviano, y que contribuirá a vincular zonas altamente productivas, tales como Puerto Grether, Choré-Víbora, y Cascabel, con los principales centros de consumo del país. Adicionalmente, la implementación del Proyecto permitirá el acceso seguro y eficiente de la población a más de veinte (20) centros de salud, noventa y cinco (95) unidades educativas, ubicadas en la zona de influencia, además de 3 universidades y 6 institutos tecnológicos, beneficiando a aproximadamente 92.000 personas.",,1
XM-DAC-46008-cfl0000003735,2,1,"Financiamiento de proyectos de infraestructura, desarrollo socioambiental y desarrollo económico-productivo en los países miembros de FONPLATA.",,1
XM-DAC-46008-cfl0000003735,1,2,"Línea de crédito revolvente no comprometida por un monto de USD 150.000.000.  Los países miembros de FONPLATA son Argentina, Bolivia, Brasil, Paraguay y Uruguay.",,1
XM-DAC-46008-cfa012119,2,1,"El objetivo del Programa es mejorar los sistemas de transmisión y distribución eléctrica con énfasis en el sector agroindustrial camaronero, electrificando aproximadamente 42.000 hectáreas en el litoral de las provincias de Esmeraldas, Manabí, Guayas, El Oro y Santa Elena, y brindando servicio a zonas rurales no electrificadas en el área de influencia.",,1
XM-DAC-46008-cfa012119,1,2,"El Programa contempla inversiones para la mejora de los sistemas de transmisión y distribución eléctrica, particularmente para brindar servicio al sector camaronero del país y la electrificación rural en zonas actualmente sin servicio. Específicamente, las inversiones previstas han sido agrupadas en los siguientes componentes: 1. Sistema de transmisión: contempla obras en el sistema de transmisión que se requieren para abastecer la carga y mejorar la confiabilidad en las zonas de Chongón, Naranjal y Balao, Naranjal y Tenguel, Puerto Salvador y Puerto Baquerizo. Este componente será ejecutado por CELEC EP. 2. Sistema de subtransmisión y distribución: considera la elaboración de estudios, así como obras y equipamiento para proyectos de subtransmisión necesarias para abastecer las camaroneras ubicadas en la zona de influencia del Programa. Igualmente considera proyectos de distribución, principalmente alimentadores a niveles de tensión por debajo de 34,5 kV. Este componente será ejecutado por CNEL EP. Electrificación zonas rurales: abarca proyectos cercanos a las zonas de intervención, seleccionados de la base de proyectos de energización de zonas rurales de CNEL EP. Se espera beneficiar a 5.025 viviendas sin servicio eléctrico (VSS) y 1.378 viviendas que contando con servicio sufren de una calidad deficiente del mismo (VCS). Fortalecimiento institucional: considera los costos para el seguimiento y monitoreo, supervisión y fiscalización externa. Otros costos: corresponde a las auditorías (ambiental y técnico-financiera), y recursos para la elaboración de estudios ambientales.",,1
