activity_identifier,type,iso_date,narrative,narrative_lang
US-GOV-1-4990015G00510600,4,2015-09-30,,
US-GOV-1-7200AA19F00023,1,2015-03-30,,
US-GOV-1-7200AA19F00023,2,2015-03-30,,
US-GOV-1-7200AA19F00023,3,2023-09-30,,
US-GOV-1-7200AA19F00023,4,2023-09-30,,
US-GOV-1-7200AA20P00017,1,2020-10-01,,
US-GOV-1-7200AA20P00017,2,2020-10-01,,
US-GOV-1-7200AA20P00017,3,2021-09-30,,
US-GOV-1-7200AA20P00017,4,2021-09-30,,
US-GOV-1-7200AA21CA00017,1,2021-09-30,,
US-GOV-1-7200AA21CA00017,2,2021-09-30,,
US-GOV-1-7200AA21CA00017,3,2025-09-29,,
US-GOV-1-7200AA23F00011,1,2024-10-01,,
US-GOV-1-7200AA23F00011,2,2024-10-01,,
US-GOV-1-7200AA23F00011,3,2025-09-30,,
US-GOV-1-7200AA24GR00002,1,2023-10-01,,
US-GOV-1-7200AA24GR00002,2,2023-10-01,,
US-GOV-1-7200AA24GR00002,3,2024-09-30,,
US-GOV-1-7200AA24GR00002,4,2024-09-30,,
US-GOV-1-7200AA24P00041,1,2023-10-01,,
US-GOV-1-7200AA24P00041,2,2023-10-01,,
US-GOV-1-7200AA24P00041,3,2024-09-30,,
US-GOV-1-7200AA24P00041,4,2024-09-30,,
US-GOV-1-7200AA25N00002,1,2024-10-01,,
US-GOV-1-7200AA25N00002,2,2024-10-01,,
US-GOV-1-7200AA25N00002,3,2025-09-30,,
US-GOV-1-720201350267,1,2012-10-01,,
US-GOV-1-720201350267,2,2012-10-01,,
US-GOV-1-720201350267,3,2013-09-30,,
US-GOV-1-720201350267,4,2013-09-30,,
US-GOV-1-720201350269,1,2012-10-01,,
US-GOV-1-720201350269,2,2012-10-01,,
US-GOV-1-720201350269,3,2013-09-30,,
US-GOV-1-720201350269,4,2013-09-30,,
US-GOV-1-720201350402,1,2012-10-01,,
US-GOV-1-720201350402,2,2012-10-01,,
US-GOV-1-720201350402,3,2013-09-30,,
US-GOV-1-720201350402,4,2013-09-30,,
US-GOV-1-720201350403,1,2012-10-01,,
US-GOV-1-720201350403,2,2012-10-01,,
US-GOV-1-720201350403,3,2013-09-30,,
US-GOV-1-720201350403,4,2013-09-30,,
US-GOV-1-720201350429,1,2012-10-01,,
US-GOV-1-720201350429,2,2012-10-01,,
US-GOV-1-720201350429,3,2013-09-30,,
US-GOV-1-720201350429,4,2013-09-30,,
US-GOV-1-720201350435,1,2012-10-01,,
US-GOV-1-720201350435,2,2012-10-01,,
US-GOV-1-720201350435,3,2013-09-30,,
US-GOV-1-720201350435,4,2013-09-30,,
US-GOV-1-720201350588,1,2012-10-01,,
US-GOV-1-720201350588,2,2012-10-01,,
US-GOV-1-720201350588,3,2013-09-30,,
US-GOV-1-720201350588,4,2013-09-30,,
US-GOV-1-720201351534,1,2012-10-01,,
US-GOV-1-720201351534,2,2012-10-01,,
US-GOV-1-720201351534,3,2013-09-30,,
US-GOV-1-720201351534,4,2013-09-30,,
US-GOV-1-720201450429,1,2013-10-01,,
US-GOV-1-720201450429,2,2013-10-01,,
US-GOV-1-720201450429,3,2014-09-30,,
US-GOV-1-720201450429,4,2014-09-30,,
US-GOV-1-720201450587,1,2013-10-01,,
US-GOV-1-720201450587,2,2013-10-01,,
US-GOV-1-720201450587,3,2014-09-30,,
US-GOV-1-720201450587,4,2014-09-30,,
US-GOV-1-720201450588,1,2013-10-01,,
US-GOV-1-720201450588,2,2013-10-01,,
US-GOV-1-720201450588,3,2014-09-30,,
US-GOV-1-720201450588,4,2014-09-30,,
US-GOV-1-720201550270,1,2014-10-01,,
US-GOV-1-720201550270,2,2014-10-01,,
US-GOV-1-720201550270,3,2015-09-30,,
US-GOV-1-720201550270,4,2015-09-30,,
US-GOV-1-720201550411,1,2014-10-01,,
US-GOV-1-720201550411,2,2014-10-01,,
US-GOV-1-720201550411,3,2015-09-30,,
US-GOV-1-720201550411,4,2015-09-30,,
US-GOV-1-720201550435,1,2014-10-01,,
US-GOV-1-720201550435,2,2014-10-01,,
US-GOV-1-720201550435,3,2015-09-30,,
US-GOV-1-720201550435,4,2015-09-30,,
US-GOV-1-720201550498,1,2014-10-01,,
US-GOV-1-720201550498,2,2014-10-01,,
US-GOV-1-720201550498,3,2015-09-30,,
US-GOV-1-720201550498,4,2015-09-30,,
US-GOV-1-720201550587,1,2014-10-01,,
US-GOV-1-720201550587,2,2014-10-01,,
US-GOV-1-720201550587,3,2015-09-30,,
US-GOV-1-720201550587,4,2015-09-30,,
US-GOV-1-720201555028,1,2014-10-01,,
US-GOV-1-720201555028,2,2014-10-01,,
US-GOV-1-720201555028,3,2015-09-30,,
US-GOV-1-720201555028,4,2015-09-30,,
US-GOV-1-720201555051,1,2014-10-01,,
US-GOV-1-720201555051,2,2014-10-01,,
US-GOV-1-720201555051,3,2015-09-30,,
US-GOV-1-720201555051,4,2015-09-30,,
US-GOV-1-720201650587,1,2015-10-01,,
US-GOV-1-720201650587,2,2015-10-01,,
US-GOV-1-720201650587,3,2016-09-30,,
US-GOV-1-720201650587,4,2016-09-30,,
US-GOV-1-720201758483,1,2016-10-01,,
US-GOV-1-720201758483,2,2016-10-01,,
US-GOV-1-720201758483,3,2017-09-30,,
US-GOV-1-720201758483,4,2017-09-30,,
US-GOV-1-720201850266,1,2017-10-01,,
US-GOV-1-720201850266,2,2017-10-01,,
US-GOV-1-720201850266,3,2018-09-30,,
US-GOV-1-720201850266,4,2018-09-30,,
US-GOV-1-720201858483,1,2017-10-01,,
US-GOV-1-720201858483,2,2017-10-01,,
US-GOV-1-720201858483,3,2018-09-30,,
US-GOV-1-720201858483,4,2018-09-30,,
US-GOV-1-720201860688,1,2017-10-01,,
US-GOV-1-720201860688,2,2017-10-01,,
US-GOV-1-720201860688,3,2018-09-30,,
US-GOV-1-720201860688,4,2018-09-30,,
US-GOV-1-720201954926,1,2018-10-01,,
US-GOV-1-720201954926,2,2018-10-01,,
US-GOV-1-720201954926,3,2019-09-30,,
US-GOV-1-720201954926,4,2019-09-30,,
US-GOV-1-720201958483,1,2018-10-01,,
US-GOV-1-720201958483,2,2018-10-01,,
US-GOV-1-720201958483,3,2019-09-30,,
US-GOV-1-720201958483,4,2019-09-30,,
US-GOV-1-720201960850,1,2018-10-01,,
US-GOV-1-720201960850,2,2018-10-01,,
US-GOV-1-720201960850,3,2019-09-30,,
US-GOV-1-720201960850,4,2019-09-30,,
US-GOV-1-720201962309,1,2018-10-01,,
US-GOV-1-720201962309,2,2018-10-01,,
US-GOV-1-720201962309,3,2019-09-30,,
US-GOV-1-720201962309,4,2019-09-30,,
US-GOV-1-720202050284,1,2019-10-01,,
US-GOV-1-720202050284,2,2019-10-01,,
US-GOV-1-720202050284,3,2020-09-30,,
US-GOV-1-720202050284,4,2020-09-30,,
US-GOV-1-720202059146,1,2019-10-01,,
US-GOV-1-720202059146,2,2019-10-01,,
US-GOV-1-720202059146,3,2020-09-30,,
US-GOV-1-720202059146,4,2020-09-30,,
US-GOV-1-720202159602,1,2020-10-01,,
US-GOV-1-720202159602,2,2020-10-01,,
US-GOV-1-720202159602,3,2021-09-30,,
US-GOV-1-720202159602,4,2021-09-30,,
US-GOV-1-720202163948,1,2020-10-01,,
US-GOV-1-720202163948,2,2020-10-01,,
US-GOV-1-720202163948,3,2021-09-30,,
US-GOV-1-720202163948,4,2021-09-30,,
US-GOV-1-720202250571,1,2021-10-01,,
US-GOV-1-720202250571,2,2021-10-01,,
US-GOV-1-720202250571,3,2022-09-30,,
US-GOV-1-720202250571,4,2022-09-30,,
US-GOV-1-720202363844,1,2022-10-01,,
US-GOV-1-720202363844,2,2022-10-01,,
US-GOV-1-720202363844,3,2023-09-30,,
US-GOV-1-720202363844,4,2023-09-30,,
US-GOV-1-720ASA21H00001,1,2024-10-01,,
US-GOV-1-720ASA21H00001,2,2024-10-01,,
US-GOV-1-720ASA21H00001,3,2025-09-30,,
US-GOV-1-720BHA22IO00187,1,2022-08-22,,
US-GOV-1-720BHA22IO00187,2,2022-08-22,,
US-GOV-1-720BHA22IO00187,3,2026-02-21,,
US-GOV-1-720BHA24CA00003,1,2024-03-11,,
US-GOV-1-720BHA24CA00003,2,2024-03-11,,
US-GOV-1-720BHA24CA00003,3,2028-03-10,,
US-GOV-1-720BHA24IO00029,1,2024-01-31,,
US-GOV-1-720BHA24IO00029,2,2024-01-31,,
US-GOV-1-720BHA24IO00029,3,2026-01-31,,
US-GOV-1-720FDA18IO00057,1,2018-09-01,,
US-GOV-1-720FDA18IO00057,2,2018-09-01,,
US-GOV-1-720FDA18IO00057,3,2023-12-31,,
US-GOV-1-720FDA18IO00057,4,2023-12-31,,
US-GOV-1-720FDA18IO00102,1,2019-10-01,,
US-GOV-1-720FDA18IO00102,2,2019-10-01,,
US-GOV-1-720FDA18IO00102,3,2020-09-30,,
US-GOV-1-720FDA18IO00102,4,2020-09-30,,
US-GOV-1-720FDA19GR00018,1,2019-03-11,,
US-GOV-1-720FDA19GR00018,2,2019-03-11,,
US-GOV-1-720FDA19GR00018,3,2021-12-10,,
US-GOV-1-720FDA19GR00018,4,2021-12-10,,
US-GOV-1-720FDA19IO00092,1,2019-09-16,,
US-GOV-1-720FDA19IO00092,2,2019-09-16,,
US-GOV-1-720FDA19IO00092,3,2024-09-30,,
US-GOV-1-720FDA19IO00092,4,2024-09-30,,
US-GOV-1-720FDA19IO00099,1,2023-10-01,,
US-GOV-1-720FDA19IO00099,2,2023-10-01,,
US-GOV-1-720FDA19IO00099,3,2024-09-30,,
US-GOV-1-720FDA19IO00099,4,2024-09-30,,
US-GOV-1-720FDA20GR00075,1,2021-10-01,,
US-GOV-1-720FDA20GR00075,2,2021-10-01,,
US-GOV-1-720FDA20GR00075,3,2022-09-30,,
US-GOV-1-720FDA20GR00075,4,2022-09-30,,
US-GOV-1-99,1,2018-10-01,,
US-GOV-1-99,2,2018-10-01,,
US-GOV-1-99,3,2019-09-30,,
US-GOV-1-99,4,2019-09-30,,
US-GOV-1-AEP-G-00-99-00064,1,2014-10-01,,
US-GOV-1-AEP-G-00-99-00064,2,2014-10-01,,
US-GOV-1-AEP-G-00-99-00064,3,2015-09-30,,
US-GOV-1-AEP-G-00-99-00064,4,2015-09-30,,
US-GOV-1-AEP0085I02300100,1,2014-10-01,,
US-GOV-1-AEP0085I02300100,2,2014-10-01,,
US-GOV-1-AEP0085I02300100,3,2015-09-30,,
US-GOV-1-AEP0085I02300100,4,2015-09-30,,
US-GOV-1-AID-386-A-14-00018,1,2019-10-01,,
US-GOV-1-AID-386-A-14-00018,2,2019-10-01,,
US-GOV-1-AID-386-A-14-00018,3,2020-09-30,,
US-GOV-1-AID-386-A-14-00018,4,2020-09-30,,
US-GOV-1-AID-486-A-17-00002,1,2022-10-01,,
US-GOV-1-AID-486-A-17-00002,2,2022-10-01,,
US-GOV-1-AID-486-A-17-00002,3,2023-09-30,,
US-GOV-1-AID-486-A-17-00002,4,2023-09-30,,
US-GOV-1-AID-ASIA-G-14-00001,1,2014-07-17,,
US-GOV-1-AID-ASIA-G-14-00001,2,2014-07-17,,
US-GOV-1-AID-ASIA-G-14-00001,3,2023-09-30,,
US-GOV-1-AID-ASIA-G-14-00001,4,2023-09-30,,
US-GOV-1-AID-DFD-I-04-05-00221,1,2005-09-12,,
US-GOV-1-AID-DFD-I-04-05-00221,2,2005-09-12,,
US-GOV-1-AID-DFD-I-04-05-00221,3,2018-09-30,,
US-GOV-1-AID-DFD-I-04-05-00221,4,2018-09-30,,
US-GOV-1-AID-OAA-A-11-00045,1,2011-10-01,,
US-GOV-1-AID-OAA-A-11-00045,2,2011-10-01,,
US-GOV-1-AID-OAA-A-11-00045,3,2020-09-30,,
US-GOV-1-AID-OAA-A-11-00045,4,2020-09-30,,
US-GOV-1-AID-OAA-BC-11-00001,1,2004-09-30,,
US-GOV-1-AID-OAA-BC-11-00001,2,2004-09-30,,
US-GOV-1-AID-OAA-BC-11-00001,3,2019-09-30,,
US-GOV-1-AID-OAA-BC-11-00001,4,2019-09-30,,
US-GOV-1-AID-OAA-LA-12-00003,1,2012-09-30,,
US-GOV-1-AID-OAA-LA-12-00003,2,2012-09-30,,
US-GOV-1-AID-OAA-LA-12-00003,3,2017-11-30,,
US-GOV-1-AID-OAA-LA-12-00003,4,2017-11-30,,
US-GOV-1-AID-OAA-TO-10-00010,1,2005-09-30,,
US-GOV-1-AID-OAA-TO-10-00010,2,2005-09-30,,
US-GOV-1-AID-OAA-TO-10-00010,3,2020-09-30,,
US-GOV-1-AID-OAA-TO-10-00010,4,2020-09-30,,
US-GOV-1-AID-OAA-TO-11-00058,1,2006-09-30,,
US-GOV-1-AID-OAA-TO-11-00058,2,2006-09-30,,
US-GOV-1-AID-OAA-TO-11-00058,3,2020-09-30,,
US-GOV-1-AID-OAA-TO-11-00058,4,2020-09-30,,
US-GOV-1-AID-OAA-TO-13-00009,1,2012-10-01,,
US-GOV-1-AID-OAA-TO-13-00009,2,2012-10-01,,
US-GOV-1-AID-OAA-TO-13-00009,3,2015-09-30,,
US-GOV-1-AID-OAA-TO-13-00009,4,2015-09-30,,
US-GOV-1-AID-OAA-TO-17-00028,1,2020-10-01,,
US-GOV-1-AID-OAA-TO-17-00028,2,2020-10-01,,
US-GOV-1-AID-OAA-TO-17-00028,3,2021-09-30,,
US-GOV-1-AID-OAA-TO-17-00028,4,2021-09-30,,
US-GOV-1-AID-OFDA-IO-17-00046,1,2016-10-01,,
US-GOV-1-AID-OFDA-IO-17-00046,2,2016-10-01,,
US-GOV-1-AID-OFDA-IO-17-00046,3,2018-09-30,,
US-GOV-1-AID-OFDA-IO-17-00046,4,2018-09-30,,
US-GOV-1-ANE-G-00-06-00003-00,1,2015-10-01,,
US-GOV-1-ANE-G-00-06-00003-00,2,2015-10-01,,
US-GOV-1-ANE-G-00-06-00003-00,3,2016-09-30,,
US-GOV-1-ANE-G-00-06-00003-00,4,2016-09-30,,
US-GOV-1-ANE-G-SS-87-00050,1,2014-10-01,,
US-GOV-1-ANE-G-SS-87-00050,2,2014-10-01,,
US-GOV-1-ANE-G-SS-87-00050,3,2015-09-30,,
US-GOV-1-ANE-G-SS-87-00050,4,2015-09-30,,
US-GOV-1-ANE-P-00-04-00006-02,1,2014-10-01,,
US-GOV-1-ANE-P-00-04-00006-02,2,2014-10-01,,
US-GOV-1-ANE-P-00-04-00006-02,3,2015-09-30,,
US-GOV-1-ANE-P-00-04-00006-02,4,2015-09-30,,
US-GOV-1-ANE-P-00-05-00002-01,1,2012-10-01,,
US-GOV-1-ANE-P-00-05-00002-01,2,2012-10-01,,
US-GOV-1-ANE-P-00-05-00002-01,3,2013-09-30,,
US-GOV-1-ANE-P-00-05-00002-01,4,2013-09-30,,
US-GOV-1-DAN5116Q01911500,1,2013-10-01,,
US-GOV-1-DAN5116Q01911500,2,2013-10-01,,
US-GOV-1-DAN5116Q01911500,3,2014-09-30,,
US-GOV-1-DAN5116Q01911500,4,2014-09-30,,
US-GOV-1-DFD-A-00-06-00150-01,1,2013-10-01,,
US-GOV-1-DFD-A-00-06-00150-01,2,2013-10-01,,
US-GOV-1-DFD-A-00-06-00150-01,3,2014-09-30,,
US-GOV-1-DFD-A-00-06-00150-01,4,2014-09-30,,
US-GOV-1-DFD-A-00-06-00151-02,1,2012-10-01,,
US-GOV-1-DFD-A-00-06-00151-02,2,2012-10-01,,
US-GOV-1-DFD-A-00-06-00151-02,3,2013-09-30,,
US-GOV-1-DFD-A-00-06-00151-02,4,2013-09-30,,
US-GOV-1-DFD-G-00-05-00211-00,1,2012-10-01,,
US-GOV-1-DFD-G-00-05-00211-00,2,2012-10-01,,
US-GOV-1-DFD-G-00-05-00211-00,3,2013-09-30,,
US-GOV-1-DFD-G-00-05-00211-00,4,2013-09-30,,
US-GOV-1-DFD-G-00-09-00026-00,1,2015-10-01,,
US-GOV-1-DFD-G-00-09-00026-00,2,2015-10-01,,
US-GOV-1-DFD-G-00-09-00026-00,3,2017-09-30,,
US-GOV-1-DFD-G-00-09-00026-00,4,2017-09-30,,
US-GOV-1-DFD-I-05-05-00245-00,1,2016-10-01,,
US-GOV-1-DFD-I-05-05-00245-00,2,2016-10-01,,
US-GOV-1-DFD-I-05-05-00245-00,3,2017-09-30,,
US-GOV-1-DFD-I-05-05-00245-00,4,2017-09-30,,
US-GOV-1-ENV-G-00-99-00005,1,2014-10-01,,
US-GOV-1-ENV-G-00-99-00005,2,2014-10-01,,
US-GOV-1-ENV-G-00-99-00005,3,2015-09-30,,
US-GOV-1-ENV-G-00-99-00005,4,2015-09-30,,
US-GOV-1-ENV-P-00-97-00002,1,2012-10-01,,
US-GOV-1-ENV-P-00-97-00002,2,2012-10-01,,
US-GOV-1-ENV-P-00-97-00002,3,2013-09-30,,
US-GOV-1-ENV-P-00-97-00002,4,2013-09-30,,
US-GOV-1-ENV-P-00-98-00001,1,2012-10-01,,
US-GOV-1-ENV-P-00-98-00001,2,2012-10-01,,
US-GOV-1-ENV-P-00-98-00001,3,2013-09-30,,
US-GOV-1-ENV-P-00-98-00001,4,2013-09-30,,
US-GOV-1-ENV-P-00-98-00002,1,2012-10-01,,
US-GOV-1-ENV-P-00-98-00002,2,2012-10-01,,
US-GOV-1-ENV-P-00-98-00002,3,2013-09-30,,
US-GOV-1-ENV-P-00-98-00002,4,2013-09-30,,
US-GOV-1-FDA-P-00-03-00018-01,1,2012-10-01,,
US-GOV-1-FDA-P-00-03-00018-01,2,2012-10-01,,
US-GOV-1-FDA-P-00-03-00018-01,3,2013-09-30,,
US-GOV-1-FDA-P-00-03-00018-01,4,2013-09-30,,
US-GOV-1-GPO-M-00-05-00043-13,1,2014-10-01,,
US-GOV-1-GPO-M-00-05-00043-13,2,2014-10-01,,
US-GOV-1-GPO-M-00-05-00043-13,3,2017-09-30,,
US-GOV-1-GPO-M-00-05-00043-13,4,2017-09-30,,
US-GOV-1-HNE-G-00-95-00076,1,2014-10-01,,
US-GOV-1-HNE-G-00-95-00076,2,2014-10-01,,
US-GOV-1-HNE-G-00-95-00076,3,2015-09-30,,
US-GOV-1-HNE-G-00-95-00076,4,2015-09-30,,
US-GOV-1-HNE0014A00402900,1,2014-10-01,,
US-GOV-1-HNE0014A00402900,2,2014-10-01,,
US-GOV-1-HNE0014A00402900,3,2015-09-30,,
US-GOV-1-HNE0014A00402900,4,2015-09-30,,
US-GOV-1-HNE0159C00307900,1,2014-10-01,,
US-GOV-1-HNE0159C00307900,2,2014-10-01,,
US-GOV-1-HNE0159C00307900,3,2015-09-30,,
US-GOV-1-HNE0159C00307900,4,2015-09-30,,
US-GOV-1-LAG-I-02-99-00019,1,2014-10-01,,
US-GOV-1-LAG-I-02-99-00019,2,2014-10-01,,
US-GOV-1-LAG-I-02-99-00019,3,2015-09-30,,
US-GOV-1-LAG-I-02-99-00019,4,2015-09-30,,
US-GOV-1-LAG-I-08-99-00017-06,1,2014-10-01,,
US-GOV-1-LAG-I-08-99-00017-06,2,2014-10-01,,
US-GOV-1-LAG-I-08-99-00017-06,3,2015-09-30,,
US-GOV-1-LAG-I-08-99-00017-06,4,2015-09-30,,
US-GOV-1-LAG-I-11-99-00013-02,1,2014-10-01,,
US-GOV-1-LAG-I-11-99-00013-02,2,2014-10-01,,
US-GOV-1-LAG-I-11-99-00013-02,3,2015-09-30,,
US-GOV-1-LAG-I-11-99-00013-02,4,2015-09-30,,
US-GOV-1-PCE-I-32-98-00016-00,1,2014-10-01,,
US-GOV-1-PCE-I-32-98-00016-00,2,2014-10-01,,
US-GOV-1-PCE-I-32-98-00016-00,3,2015-09-30,,
US-GOV-1-PCE-I-32-98-00016-00,4,2015-09-30,,
US-GOV-1-RAN-A-00-06-00040-00,1,2014-10-01,,
US-GOV-1-RAN-A-00-06-00040-00,2,2014-10-01,,
US-GOV-1-RAN-A-00-06-00040-00,3,2015-09-30,,
US-GOV-1-RAN-A-00-06-00040-00,4,2015-09-30,,
US-GOV-1-RAN-M-00-06-00046-00,1,2012-10-01,,
US-GOV-1-RAN-M-00-06-00046-00,2,2012-10-01,,
US-GOV-1-RAN-M-00-06-00046-00,3,2013-09-30,,
US-GOV-1-RAN-M-00-06-00046-00,4,2013-09-30,,
