activity_identifier,contact_type,organisation,department,person_name,job_title,telephone,email,website,mailing_address
XI-IATI-IADB-AR-L1410,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1121,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1144,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR0290,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1043,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1330,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1360,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1003,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1154,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1159,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1064,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1266,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1254,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1411,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1122,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1367,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1338,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1339,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1134,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1140,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1145,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1327,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1260,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1328,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1195,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1412,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1257,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1179,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1416,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1111,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1120,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1295,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1267,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1098,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1106,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1247,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1019,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1341,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1026,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1035,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1377,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1249,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1306,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1358,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1280,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1307,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1391,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1422,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
XI-IATI-IADB-AR-L1272,1,INTER-AMERICAN DEVELOPMENT BANK,,Loans and Grants accounting,,2026231000,FIN-ACC-LGA@IADB.ORG,,
