activity_identifier,title,title_lang,description,description_lang,activity_status,activity_scope,default_currency,humanitarian,hierarchy,last_updated_datetime,xml_lang,reporting_org_ref,reporting_org_name,reporting_org_name_lang,reporting_org_type,reporting_org_secondary_reporter,planned_start_date,actual_start_date,planned_end_date,actual_end_date,recipient_country_code,recipient_country_percentage,recipient_country_name,recipient_country_lang,recipient_region_code,recipient_region_percentage,recipient_region_name,recipient_region_lang,collaboration_type,default_flow_type,default_finance_type,default_aid_type,default_tied_status,conditions_attached
XI-IATI-IADB-AR-L1353,Support Program for Small Wine Producers in Argentina II (PROVIAR II),en,"The general objective of the Program is to contribute to the social, economic and environmental sustainability of Argentine viticulture, in particular, of small and medium producers, viticultural establishments and rural youth. As specific objectives, the program proposes to: (i) improve the productivity levels of small and medium wine producers with a focus on efficiency in the use of water resources; (ii) increase the sales of small and medium-sized wine establishments; and (iii) strengthen small and medium-sized enterprises (SMEs) in the rural sector to generate employment and increase sales with a focus on youth and women.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1419,Contingent Loan for Natural Disaster Emergencies - Support for the Flood Emergency Response in Bahía Blanca,en,"The general objective of development is to help mitigate the impact that a severe or catastrophic natural disaster could have on the country's public finances. The specific objective of development is to improve the financial management of natural disasters by increasing stable, cost-efficient, and rapidly accessible contingent financing to cover extraordinary public expenses aimed at assisting the population affected by natural disasters. This financing will support government actions in response to the flood emergency in the City of Bahía Blanca and surrounding areas affected by one of the most extreme climate events in the region.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1420,First individual operation under the CCLIP Urban Development and Habitat Improvement Program of Neuquen,en,The overall objective of this first individual operation is to contribute to sustainable and inclusive urban development in the province of Neuquén. Its specific objectives are: (i) to comprehensively improve established urban areas; (ii) to promote the formalization and urban development of popular neighborhoods and slums; and (iii) to strengthen sustainable urban and territorial management.,en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1421,Digital Transformation of Mendoza’s Health System,en,"To drive the digital transformation of Mendoza's health system by enhancing its capacity to generate, integrate, and use health and economic information in digital format. The project aims to: (i) improve the timeliness and quality of clinical care; (ii) increase efficiency and equity in resource allocation; and (iii) promote a more personalized and proactive model of care, based on population-level data analytics and evidence to anticipate needs and guide public health interventions.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1095,Additional Financing Norte Grande Electricity Transmission Program,en,"The main objective of the Project is to guarantee the coverage of the increasing power demand and the security of the Argentinean Interconnection System (SADI), with the object of contributing to the continuous development of the productive sectors and elevating the standard of life of the population, by rationally making use of the available generation resources of the country. The specific objectives are: i) to interconnect the electrical systems of the Northeast and Northwest Argentinean regions (NOA ¿ NEA) by using a line of extra high tension (LEAT 500kV and associated Transformation Stations) so it can permit and promote the energy exchange between both regions, improving the prices and increasing the quality and security of the electrical provision, in particular for the macro region of Norte Grande; and ii) to consolidate and expand the regional communication nets (high and med tension lines smaller than 500kV with its respective associated transformation stations), laying the foundations for the productive and social development through giving solution to the problems that attempt against the security and reliability of these systems.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1243,DEVELOPMENT PROGRAM FOR METROPOLITAN AREAS OUTSIDE THE CAPITAL II,en,"The objective of the conditional credit line for investment projects (CCLIP) is to enhance the quality
of life of the population in metropolitan areas by improving urban services and infrastructure. The objective of the first individual operation
is to improve public services and infrastructure in metropolitan areas that require cooperation between two or more territorial jurisdictions
by: (i) fostering an understanding of the problems facing big cities and promoting agreements to prioritize actions that require coordination
between municipal and provincial authorities of a metropolitan area; (ii) contributing to build the institutions necessary to deliver services
and infrastructure in metropolitan areas that encompass two or more territorial jurisdictions; and (iii) financing investments in urban
infrastructure and facilities to support such improvements.",en,3,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1008,Institutional Strengthening Program for the National Senate,en,"The general objective of the program is to support the institutional strengthening of the Argentine Senate so as to improve its parliamentary and administrative management capacity in the context of greater transparency. The program has four components: (i) support for parliamentary management and the lawmaking process; (ii) administrative and financial management of the Senate; (iii) human resources management, optimization, and training; and (iv) change management and public information.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1004,Improvement of the Competitiveness of Tourism,en,The main objective of the project is to increase revenues generated by visitors to prioritized public tourism areas.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1013,Norte Grande Competitiveness Program,en,"To increase productive chains competitiveness in the Provinces that are part of the Argentinean NOA-NEA (Norte Grande Region), through the establishment of an institutional mechanism which supports development of these productive chains showing verifiable increases in the competitiveness of the participating companies measured through increases on exports, productivity improvements, increases in dynamic market sales, etc. The purpose consists of implementing a Program that will include components which will support development, with efficient and transparent procedures, promoting associated work between companies, generally through promoter entities present in the nucleuses and/or circuits of economic activity within the region.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1063,Project to Integrate Small Producers into the Wine Production Chain,en,To improve the profitability and the income sustainability of small primary producers within the grape & wine chain. Project's purpose is to attain a better and bigger integration of the actors within the grape and wine chain.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1354,Federal Power Transmission Program (PFTEE),en,The general objective of the first operation is to contribute to the decarbonization of the electricity sector by reducing Green House Gas (GHG) emissions and improving human development through the expansion and modernization of electricity transmission systems.,en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1370,Program to Support Public Policies for the Sustainable and Resilient Growth of Argentina II,en,The general development objective is to contribute to sustainable and resilient growth in Argentina. The specific development objectives are: (i) to strengthen the government's capacity to plan and finance climate action; (ii) promote policies that contribute to the circular economy and decarbonization; and (iii) develop a favorable framework for sustainable finance.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,A02,5,1
XI-IATI-IADB-AR-L1001,Strengthening of the Economic Policy Secretariat,en,"The project objective is to contribute to the institutional strengthening process of the economic policy and the national development strategy. Specifically, the operation will improve the institutional capacity of the Economic Policy Secretariat for: (i) policy formulation; (ii) economic and social development strategies; and (ii) policy implementation as well as sectoral coordination.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1012,Technological Modernization Program III,en,This program seeks to continue supporting the improvement of the scientific and technological capacity of the country; promote the undertaking of innovation activities in private firms; promote the development of high-level human resources in science and technology; support cluster development; and promote an improvement in the relevance and capacity of the country's key research centers.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1020,Strenghtening the Basic Health Care Strategy (FEAPS),en,"The primary objective of the Program is to support the improvement of the population's health, through the strengthening of the primary health care strategy as a system organizer. The specific objectives of the Program are: (i) strengthen the health planning capacities of the Ministry of Health and Environment of the Nation and the Provincial Ministries; and (ii) strengthen the Health Integral Service Network with emphasis on first and second delivery level.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1033,SMEs Credit Access and Competitiveness Program,en,"The objective of the Operation is to contribute to the improvement of the competitiveness and the increase of local value added on the argentinean SMEs, through the promotion of credit access for medium and long term investments and the external professional services. Also the Program will redesign and fortify a network of local institutions of promotion of the SMEs.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1418,Logistics Infrastructure Program for the Regional Integration of Salta: Bioceanic Corridor,en,Strengthen road connectivity to promote international trade in the province of Salta,en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1025,Solid Waste Management Program for Touristic Municipalities,en,"The objective of the program is to provide infrastructure and improve the local capacity to provide GIRSU services in national parks and surrounding municipalities, as well as in other touristic municipalities that lay outside of the provincial solid waste collection network.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1038,Program to Support a Policy on Improving Equity in Education,en,"To support the implementation of the Education Financing Law and the General Education. Those laws are the basis of the Argentinean education strategy for the next five years. The specific objectives are: (i) quality improvement; (ii) to assure access and completion of basic and secondary education for kids from the poorer families; (iii) increase in the school day for schools in poorer areas; (iv) higher completion rates in secondary education; and (v) improvements in learning and use of information technology and communication. The specific activities include, scholarships, textbooks and education materials, school improvement projects in schools located in poorer neighborhoods; financing of school infrastructure and equipment; and upgraded of school facilities.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1298,Program to support gender equality policies,en,"The objective of the programmatic series is to help reduce gender inequality in Argentina, by fostering the effective and timely implementation of policies to enhance equality of opportunity and promote the rights of women and girls. The objectives of this first operation are to help reduce gender inequality in Argentina by strengthening the regulatory and institutional framework for promoting the physical and economic autonomy of women and improving government capacity to mainstream gender policies.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,A02,5,1
XI-IATI-IADB-AR-L1303,Program to Support Transparency and Integrity Reforms in Argentina II,en,"The objective of the program is to contribute to the transparency and integrity of public management through regulations and mechanisms to promote access to information. This second operation will deepen progress in the following areas: (i) regulation of the legislation on access to public information and consolidation of the rules for ethical conduct of public officials; (ii) consolidation of the regulations and mechanisms for management of State resources in relation to public works contracting, public procurement, and public sector employment; and (iii) management of the financial sector. This is the second of two consecutive operations that are linked technically but financed independently under the programmatic policy-based loan (PBP) modality.",en,4,4,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,A02,5,1
XI-IATI-IADB-AR-L1415,Macroeconomic Stability Support Program,en,The general objective of development is to strengthen Argentina's balance of payments. The specific development objective of this operation is to improve the monetary and exchange rate policy framework.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1281,Program to Support Productive Infrastructure Financing in Argentina,en,"The objective of the program is to promote private participation in productive investment to contribute to economic growth in Argentina. The program will help mitigate the risks that inhibit private financing for productive development through: (i) attracting a significant volume of private investment (institutional investors, international investors and other national or multilateral institutions); and (ii) promote efficient financing of a portfolio of private productive infrastructure projects, which matches the investors' performance, risk and term needs with the long-term needs of the projects.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1355,Program to Support the National Early Childhood Plan and the Policy for Universalization of Early Childhood Education II,en,"The multisector objective of the CCLIP is to contribute to increasing the number of children from 0 to 5 years of age who reach a level of physical, language and communication and socio-emotional skills expected for their age. The second operation of the CCLIP aims to increase the coverage and quality of institutions and public care and education services aimed at promoting the development of physical, language and communication, cognitive and socio-emotional skills of children from 0 to 5 years old .",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1356,Credit Program for the Reactivation of Production in the Province of Neuquen,en,"The general development objective of the program is to contribute to the recovery of production and support the sustainability of employment in the Province of Neuquén. The specific development objective of the program is to provide beneficiary Micro, Small and Medium Enterprises (MSMEs) that operate in the Province of Neuquén with productive financing.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1335,Provincial Agricultural Services Program V - PROSAP V,en,"The general objective of the Program is to contribute to the improvement of productivity, marketing and added value in Argentine agro-industrial production, with a focus on adaptation to climate change. The specific objectives are: (i) increase the coverage and quality of public infrastructure services in the areas to be intervened; and (ii) increase the adoption of technologies that promote economic profitability and environmental sustainability, and increase the adoption of product differentiation tools.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1409,Comprehensive Early Childhood Development Program,en,The general development objective of the operation is to contribute to the reduction of extreme poverty among Argentinean children and to improve early childhood development indicators for vulnerable households. The project's specific objectives are: (i) improve the consumption protection capacity of cash transfer programs for low-income households with dependent children; (ii) increase effective access to public services aimed at promoting early childhood development; and (iii) improve the quality of a set of social benefits aimed at promoting early childhood development.,en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1406,Support for the Transition Towards a Sustainable Electricity Sector in Argentina,en,The general development objective of the program is to strengthen the sustainability of the electricity sector by improving the targeting scheme to protect the electricity consumption of vulnerable users. The specific objectives are: (i) support the affordability of electricity service for vulnerable households in the AMBA; and (ii) strengthen institutional capacities for the sustainability of the electricity sector.,en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1282,Program to Enhance the Management Capacity of the Federal Administration of Public Revenue,en,"The objectives of the program are: (i) to strengthen tax collection, customs and social security contributions by reducing compliance costs; and (ii) improve service and attention to the taxpayer and foreign trade operators.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1310,Satellite Technology Development Program (PROSAT II),en,"The program's general objective is to help increase the effectiveness of public policies for managing disaster risk, enhancing productivity, and improving the productive performance of sectors that use satellite monitoring. Its specific objectives are to: (i) improve the monitoring and response capacity of government agencies responsible for disaster risk prevention and management by providing satellite images using synthetic aperture radar (SAR) technology; and (ii) improve satellite information to support the performance of productive sectors that use the specific applications developed through the program",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1245,Emergency Program for an Immediate Response to the Flooding in Argentina,en,"The program's objective is to collaborate with the government's
efforts to restore infrastructure and basic services affected by the
heavy rains that caused varying degrees of flooding in seven
provinces along Argentina's coast In particular, the program aims to support the affected population's
transition to recovery of its regular social and economic activities by
rehabilitating road infrastructure such as roads and highways; water
infrastructure related to flood defense systems; public structures,
such as damaged schools and public buildings appropriate as
evacuation centers. It also intends to help reestablish basic utilities
such as water and electricity service in affected areas; and lastly, to contribute to the cleanup efforts in areas capable of enhancing
vector effects.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1181,Technological Innovation Program IV,en,"The program¿s general objective is to boost enterprise productivity by increasing investment in research, development, and innovation. The specific objectives are to: (i) increase the innovation capacity of enterprises; (ii) increase the generation of scientific and technological knowledge; and (iii) boost the capacity to monitor, evaluate, coordinate, and disseminate science, technology, and innovation policies.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1404,Fiscal Policy Strengthening Program,en,The general development objective of the Program is to contribute to the fiscal sustainability of Argentina. The specific development objectives will be: (a) increase the efficiency of the tax system; and (b) increase the allocative efficiency of public spending.,en,4,4,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,A02,5,1
XI-IATI-IADB-AR-L1337,"Comprehensive Improvement of GRAL Roca Railway Project, Plaza Constitucion-La Plata Branch"": reformulation and additional financing",en,"The general objective of the project is to promote the recovery of metropolitan railways, contributing to the improvement of public transport services in the Metropolitan Region of Buenos Aires (RMBA) and the quality of life of the population, through the renewal and electrification of the passenger rail service of the Plaza Constitución - La Plata branch of the Roca Railway, increasing the modal share of this railway branch in the passenger transport of the Buenos Aires - La Plata corridor. The specific objectives are: (i) reduce travel times; (ii) reduce accident levels; (iii) improve the reliability and comfort of the service; and (iv) reduce Greenhouse Gas (GHG) emissions from the railway branch.",en,2,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1101,Development Program for Metropolitan Areas Outside the Capital,en,Contribute to the urban development of the metropolitan areas of the inner part of the country.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1413,Support for Regulatory Reforms for Competitiveness Program,en,The general development objective of this operation is to improve the business environment to contribute to increasing the country's competitiveness through the following specific development objectives: (i) reducing the regulatory compliance costs of companies with the State; (ii) reducing the participation of national public companies in the economy; and (iii) increasing the efficiency of foreign trade operations.,en,4,4,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,A02,5,1
XI-IATI-IADB-AR-L1007,Social Investment Program in Buenos Aires Province,en,"The Program's objective is to improve the coverage of services in Education, Health and Human Development, particularly those services targeted to the poorest residents in the Province of Buenos Aires",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1021,Norte Grande Electricity Transmission Program,en,"The main objective of the Project is to guarantee the coverage of the increasing power demand and the security of the Argentinean Interconnection System (SADI), with the object of contributing to the continuous development of the productive sectors and elevating the standard of life of the population, by rationally making use of the available generation resources of the country. The specific objectives are: i) to interconnect the electrical systems of the Northeast and Northwest Argentinean regions (NOA  NEA) by using a line of extra high tension (LEAT 500kV and associated Transformation Stations) so it can permit and promote the energy exchange between both regions, improving the prices and increasing the quality and security of the electrical provision, in particular for the macro region of Norte Grande; and ii) to consolidate and expand the regional communication nets (high and med tension lines smaller than 500kV with its respective associated transformation stations), laying the foundations for the productive and social development through giving solution to the problems that attempt against the security and reliability of these systems.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1080,CCLIP: Water and Sanitation Program for the Buenos Aires Metropolitan Area,en,To contribute to the development of the water supply and sanitation infrastructure and the stregthening of AySA as a public service institution.,en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
XI-IATI-IADB-AR-L1131,Infraestructura Vial Productiva II,en,"The main objectives of the Program include: strengthening the provincial productive road networks, connect local production areas with the national highway network in order to improve access to consumer centers, improve regional interchange, support economic growth, consolidate the reactivation of the productive sector, contribute to reduce poverty and unemployment and strengthen the regional institutions in charge of the road sector.",en,4,5,USD,,,2025-09-15T18:01:00Z,en,XI-IATI-IADB,Inter-American Development Bank,,40,,,,,,AR,,Argentina,,,,,,4,20,421,C01,5,1
