activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XI-IATI-IADB-AR-L1012,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1012,32182,,1,,
XI-IATI-IADB-AR-L1020,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1020,12191,,1,,
XI-IATI-IADB-AR-L1033,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1033,24010,,1,,
XI-IATI-IADB-AR-L1418,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1418,21011,,1,,
XI-IATI-IADB-AR-L1025,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1025,14020,,1,,
XI-IATI-IADB-AR-L1038,ED,EDUCATION,99,,
XI-IATI-IADB-AR-L1038,11110,,1,,
XI-IATI-IADB-AR-L1298,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1298,15170,,1,,
XI-IATI-IADB-AR-L1303,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1303,15113,,1,,
XI-IATI-IADB-AR-L1415,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1415,15117,,1,,
XI-IATI-IADB-AR-L1281,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1281,24040,,1,,
XI-IATI-IADB-AR-L1355,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1355,11240,,1,,
XI-IATI-IADB-AR-L1356,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1356,24010,,1,,
XI-IATI-IADB-AR-L1335,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1335,31120,,1,,
XI-IATI-IADB-AR-L1409,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1409,11240,,1,,
XI-IATI-IADB-AR-L1406,EN,ENERGY,99,,
XI-IATI-IADB-AR-L1406,23210,,1,,
XI-IATI-IADB-AR-L1282,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1282,15116,,1,,
XI-IATI-IADB-AR-L1310,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1310,22040,,1,,
XI-IATI-IADB-AR-L1245,PA,ENVIRONMENT AND NATURAL DISASTERS,99,,
XI-IATI-IADB-AR-L1245,74010,,1,,
XI-IATI-IADB-AR-L1181,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1181,32182,,1,,
XI-IATI-IADB-AR-L1404,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1404,15117,,1,,
XI-IATI-IADB-AR-L1337,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1337,21030,,1,,
XI-IATI-IADB-AR-L1101,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1101,16040,,1,,
XI-IATI-IADB-AR-L1413,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1413,15142,,1,,
XI-IATI-IADB-AR-L1007,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1007,11240,,1,,
XI-IATI-IADB-AR-L1021,EN,ENERGY,99,,
XI-IATI-IADB-AR-L1021,23630,,1,,
XI-IATI-IADB-AR-L1080,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1080,14020,,1,,
XI-IATI-IADB-AR-L1131,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1131,21011,,1,,
XI-IATI-IADB-AR-L1006,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1006,11240,,1,,
XI-IATI-IADB-AR-L1386,TD,TRADE,99,,
XI-IATI-IADB-AR-L1386,33181,,1,,
XI-IATI-IADB-AR-L1014,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1014,21011,,1,,
XI-IATI-IADB-AR-L1149,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1149,15142,,1,,
XI-IATI-IADB-AR-L1151,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1151,14050,,1,,
XI-IATI-IADB-AR-L1071,TU,SUSTAINABLE TOURISM,99,,
XI-IATI-IADB-AR-L1071,33210,,1,,
XI-IATI-IADB-AR-L1030,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1030,31120,,1,,
XI-IATI-IADB-AR-L1343,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1343,15110,,1,,
XI-IATI-IADB-AR-L1347,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1347,15117,,1,,
XI-IATI-IADB-AR-L1352,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1352,31110,,1,,
XI-IATI-IADB-AR-L1331,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1331,16011,,1,,
XI-IATI-IADB-AR-L1078,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1078,15142,,1,,
XI-IATI-IADB-AR-L1032,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1032,31192,,1,,
XI-IATI-IADB-AR-L1073,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1073,32182,,1,,
XI-IATI-IADB-AR-L1279,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1279,21011,,1,,
XI-IATI-IADB-AR-L1408,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1408,12191,,1,,
XI-IATI-IADB-AR-L1015,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1015,14040,,1,,
XI-IATI-IADB-AR-L1273,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1273,41050,,1,,
XI-IATI-IADB-AR-L1346,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1346,14040,,1,,
XI-IATI-IADB-AR-L1252,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1252,32182,,1,,
XI-IATI-IADB-AR-L1036,PS,PRIVATE FIRMS AND SME DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1036,25010,,1,,
XI-IATI-IADB-AR-L1157,PS,PRIVATE FIRMS AND SME DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1157,32130,,1,,
XI-IATI-IADB-AR-L1067,PA,ENVIRONMENT AND NATURAL DISASTERS,99,,
XI-IATI-IADB-AR-L1067,31210,,1,,
XI-IATI-IADB-AR-L1258,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1258,14021,,1,,
XI-IATI-IADB-AR-L1196,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1196,12250,,1,,
XI-IATI-IADB-AR-L1130,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1130,24010,,1,,
XI-IATI-IADB-AR-L1288,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1288,16040,,1,,
XI-IATI-IADB-AR-L1156,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1156,11420,,1,,
XI-IATI-IADB-AR-L1326,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1326,12110,,1,,
XI-IATI-IADB-AR-L1092,TD,TRADE,99,,
XI-IATI-IADB-AR-L1092,33110,,1,,
XI-IATI-IADB-AR-L1304,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1304,15110,,1,,
XI-IATI-IADB-AR-L1068,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1068,31120,,1,,
XI-IATI-IADB-AR-L1345,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1345,14021,,1,,
XI-IATI-IADB-AR-L1334,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1334,24010,,1,,
XI-IATI-IADB-AR-L1108,ED,EDUCATION,99,,
XI-IATI-IADB-AR-L1108,11320,,1,,
XI-IATI-IADB-AR-L1357,TD,TRADE,99,,
XI-IATI-IADB-AR-L1357,33181,,1,,
XI-IATI-IADB-AR-L1336,TU,SUSTAINABLE TOURISM,99,,
XI-IATI-IADB-AR-L1336,33210,,1,,
XI-IATI-IADB-AR-L1312,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1312,12110,,1,,
XI-IATI-IADB-AR-L1136,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1136,14021,,1,,
XI-IATI-IADB-AR-L1293,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1293,21011,,1,,
XI-IATI-IADB-AR-L1162,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1162,14021,,1,,
XI-IATI-IADB-AR-L1074,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1074,15210,,1,,
XI-IATI-IADB-AR-L1016,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1016,15185,,1,,
XI-IATI-IADB-AR-L1251,TD,TRADE,99,,
XI-IATI-IADB-AR-L1251,33120,,1,,
XI-IATI-IADB-AR-L1402,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1402,15117,,1,,
XI-IATI-IADB-AR-L1022,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1022,16011,,1,,
XI-IATI-IADB-AR-L1118,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1118,11240,,1,,
XI-IATI-IADB-AR-L1340,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1340,12110,,1,,
XI-IATI-IADB-AR-L1268,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1268,15113,,1,,
XI-IATI-IADB-AR-L1424,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1424,15117,,1,,
XI-IATI-IADB-AR-L1009,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1009,15117,,1,,
XI-IATI-IADB-AR-L1158,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1158,21011,,1,,
XI-IATI-IADB-AR-L1417,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1417,15210,,1,,
XI-IATI-IADB-AR-L1285,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1285,15185,,1,,
XI-IATI-IADB-AR-L1152,ED,EDUCATION,99,,
XI-IATI-IADB-AR-L1152,11320,,1,,
XI-IATI-IADB-AR-L1332,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1332,15127,,1,,
XI-IATI-IADB-AR-L1309,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1309,16011,,1,,
XI-IATI-IADB-AR-L1199,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1199,21011,,1,,
XI-IATI-IADB-AR-L1180,ED,EDUCATION,99,,
XI-IATI-IADB-AR-L1180,11320,,1,,
XI-IATI-IADB-AR-L1119,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1119,16040,,1,,
XI-IATI-IADB-AR-L1127,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1127,15185,,1,,
XI-IATI-IADB-AR-L1255,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1255,15210,,1,,
XI-IATI-IADB-AR-L1366,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1366,16011,,1,,
XI-IATI-IADB-AR-L1333,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1333,22020,,1,,
XI-IATI-IADB-AR-L1031,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1031,14020,,1,,
XI-IATI-IADB-AR-L1283,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1283,15142,,1,,
XI-IATI-IADB-AR-L1292,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1292,15127,,1,,
XI-IATI-IADB-AR-L1045,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1045,21011,,1,,
XI-IATI-IADB-AR-L1410,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1410,21012,,1,,
XI-IATI-IADB-AR-L1121,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1121,14032,,1,,
XI-IATI-IADB-AR-L1144,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1144,21011,,1,,
XI-IATI-IADB-AR0290,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR0290,16011,,1,,
XI-IATI-IADB-AR-L1043,ED,EDUCATION,99,,
XI-IATI-IADB-AR-L1043,11220,,1,,
XI-IATI-IADB-AR-L1330,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1330,25040,,1,,
XI-IATI-IADB-AR-L1360,PS,PRIVATE FIRMS AND SME DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1360,25010,,1,,
XI-IATI-IADB-AR-L1003,PS,PRIVATE FIRMS AND SME DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1003,25010,,1,,
XI-IATI-IADB-AR-L1154,PS,PRIVATE FIRMS AND SME DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1154,25010,,1,,
XI-IATI-IADB-AR-L1159,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1159,31120,,1,,
XI-IATI-IADB-AR-L1064,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1064,31182,,1,,
XI-IATI-IADB-AR-L1266,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1266,16062,,1,,
XI-IATI-IADB-AR-L1254,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1254,11240,,1,,
XI-IATI-IADB-AR-L1411,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1411,12110,,1,,
XI-IATI-IADB-AR-L1122,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1122,14020,,1,,
XI-IATI-IADB-AR-L1367,ED,EDUCATION,99,,
XI-IATI-IADB-AR-L1367,11220,,1,,
XI-IATI-IADB-AR-L1338,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1338,21011,,1,,
XI-IATI-IADB-AR-L1339,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1339,21011,,1,,
XI-IATI-IADB-AR-L1134,PA,ENVIRONMENT AND NATURAL DISASTERS,99,,
XI-IATI-IADB-AR-L1134,74010,,1,,
XI-IATI-IADB-AR-L1140,TU,SUSTAINABLE TOURISM,99,,
XI-IATI-IADB-AR-L1140,33210,,1,,
XI-IATI-IADB-AR-L1145,PS,PRIVATE FIRMS AND SME DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1145,25010,,1,,
XI-IATI-IADB-AR-L1327,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1327,15127,,1,,
XI-IATI-IADB-AR-L1260,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1260,16040,,1,,
XI-IATI-IADB-AR-L1328,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1328,24010,,1,,
XI-IATI-IADB-AR-L1195,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1195,31166,,1,,
XI-IATI-IADB-AR-L1412,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1412,15117,,1,,
XI-IATI-IADB-AR-L1257,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1257,14021,,1,,
XI-IATI-IADB-AR-L1179,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1179,16040,,1,,
XI-IATI-IADB-AR-L1416,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1416,15117,,1,,
XI-IATI-IADB-AR-L1111,ST,SCIENCE AND TECHNOLOGY,99,,
XI-IATI-IADB-AR-L1111,32182,,1,,
XI-IATI-IADB-AR-L1120,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1120,31120,,1,,
XI-IATI-IADB-AR-L1295,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1295,21011,,1,,
XI-IATI-IADB-AR-L1267,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1267,21030,,1,,
XI-IATI-IADB-AR-L1098,IS,SOCIAL INVESTMENT,99,,
XI-IATI-IADB-AR-L1098,16011,,1,,
XI-IATI-IADB-AR-L1106,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1106,21011,,1,,
XI-IATI-IADB-AR-L1247,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1247,15142,,1,,
XI-IATI-IADB-AR-L1019,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1019,16040,,1,,
XI-IATI-IADB-AR-L1341,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1341,16040,,1,,
XI-IATI-IADB-AR-L1026,PA,ENVIRONMENT AND NATURAL DISASTERS,99,,
XI-IATI-IADB-AR-L1026,41010,,1,,
XI-IATI-IADB-AR-L1035,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1035,15142,,1,,
XI-IATI-IADB-AR-L1377,ED,EDUCATION,99,,
XI-IATI-IADB-AR-L1377,11220,,1,,
XI-IATI-IADB-AR-L1249,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1249,24040,,1,,
XI-IATI-IADB-AR-L1306,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1306,16040,,1,,
XI-IATI-IADB-AR-L1358,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1358,12110,,1,,
XI-IATI-IADB-AR-L1280,FM,FINANCIAL MARKETS,99,,
XI-IATI-IADB-AR-L1280,24030,,1,,
XI-IATI-IADB-AR-L1307,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1307,21011,,1,,
XI-IATI-IADB-AR-L1391,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1391,21011,,1,,
XI-IATI-IADB-AR-L1422,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1422,14020,,1,,
XI-IATI-IADB-AR-L1272,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1272,15185,,1,,
XI-IATI-IADB-AR-L1351,OT,OTHER,99,,
XI-IATI-IADB-AR-L1351,99810,,1,,
XI-IATI-IADB-AR-L1405,RM,REFORM / MODERNIZATION OF THE STATE,99,,
XI-IATI-IADB-AR-L1405,15185,,1,,
XI-IATI-IADB-AR-L1361,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1361,16040,,1,,
XI-IATI-IADB-AR-L1142,SA,HEALTH,99,,
XI-IATI-IADB-AR-L1142,12191,,1,,
XI-IATI-IADB-AR-L1198,AG,AGRICULTURE AND RURAL DEVELOPMENT,99,,
XI-IATI-IADB-AR-L1198,31193,,1,,
XI-IATI-IADB-AR-L1133,TR,TRANSPORT,99,,
XI-IATI-IADB-AR-L1133,21011,,1,,
XI-IATI-IADB-AR-L1289,AS,WATER AND SANITATION,99,,
XI-IATI-IADB-AR-L1289,31166,,1,,
XI-IATI-IADB-AR-L1148,DU,URBAN DEVELOPMENT AND HOUSING,99,,
XI-IATI-IADB-AR-L1148,43032,,1,,
XI-IATI-IADB-AR-L1079,EN,ENERGY,99,,
XI-IATI-IADB-AR-L1079,23630,,1,,
