activity_identifier,description_type,description_sequence,narrative,narrative_lang,narrative_sequence
XI-IATI-IADB-AR-L1274,1,1,"The general objective of the program is to help make the PBA's economy more productive by improving road infrastructure. The specific objectives are to: (i) help improve the quality of traffic flow by expanding the capacity of sections of the PBA's main road network, and enhance road safety, which will decrease vehicle operation costs, travel times, and traffic accidents; and (ii) help improve road spending efficiency by strengthening road planning and asset management processes, improving road network operations, and strengthening preinvestment frameworks.",en,1
XI-IATI-IADB-AR-L1274,1,1,"El objetivo general del programa es contribuir a mejorar la productividad de la economía de la PBA a través de la mejora de la infraestructura vial. Los objetivos específicos son: (i) contribuir a la mejora de la calidad de circulación a través del aumento de la capacidad de tramos de la red vial principal de la PBA y de la seguridad vial, lo que resultará en la reducción de costos de operación vehicular, de tiempos de viaje y de los accidentes de tránsito; y (ii) contribuir al aumento de la eficiencia del gasto en vialidad a través del fortalecimiento de los procesos de planificación y gestión de activos viales, la mejora de la operación de la red vial, y el fortalecimiento de los esquemas de preinversión.",es,2
XI-IATI-IADB-AR-L1141,1,1,"The project¿s general objective is to increase investment in research, development, and innovation with the aim of boosting the competitiveness and productivity of enterprises.",en,1
XI-IATI-IADB-AR-L1141,1,1,"El objetivo general del proyecto es aumentar la inversión en investigación, desarrollo e innovación con el fin de mejorar la competitividad y la productividad de las empresas.",es,2
XI-IATI-IADB-AR-L1084,1,1,To contribute to solve the potable water and sanitation problematic in the main centers and urban agglomerates of the country in order that the users who count on that service improve their quality of life and that the families who do not count on this one can get to have it in the short term.,en,1
XI-IATI-IADB-AR-L1084,1,1,Contribuir a resolver la problemática sanitaria y de agua potable en los principales centros y aglomerados urbanos del país con el fin de que los usuarios que cuenten con ese servicio mejoren su calidad de vida y que las familias que no cuentan con éste puedan llegar a tenerlo en el corto plazo.,es,2
XI-IATI-IADB-AR-L1302,1,1,"The general objective of the program is to help make social safety net programs in Argentina sustainable and more effective. Specifically, the program seeks to: (i) ensure the sustainability of cash transfer programs aimed at the vulnerable population in the context of the targets agreed upon by the Argentine government and the International Monetary Fund; (ii) promote the need to stay in and complete school as well as comprehensive job training for the beneficiary population of these transfers; (iii) boost the distributive efficiency of subsidies on public services; and (iv) enhance the efficiency of social safety net programs by their information management capacity of the data generated in program execution",en,1
XI-IATI-IADB-AR-L1302,1,1,"El objetivo general del proyecto es contribuir a la sostenibilidad y a la mejora de la efectividad de programas de protección social en Argentina. Específicamente, el proyecto se propone: (i) asegurar la sostenibilidad de programas de transferencias monetarias dirigidos a población vulnerable, en el marco de las metas acordadas por el Gobierno de Argentina con el Fondo Monetario Internacional; (ii) promover la progresión y terminalidad educativa, así como la formación laboral integral de la población que recibe estas transferencias; (iii) mejorar la eficiencia distributiva de los subsidios a servicios públicos de transporte; y (iv) mejorar la eficiencia de los programas de protección social a través de una mejora en la gestión de la información que se genera a partir de su implementación",es,2
XI-IATI-IADB-AR-L1027,1,1,"Support the the Province of Cordoba in the implementation of its social development policy in three prioritiy sectors: education, health and social housing.",en,1
XI-IATI-IADB-AR-L1027,1,1,"Apoyar a la Provincia de Córdoba en la implementación de su política de desarrollo social en tres áreas prioritarias: educación, salud y vivienda social.",es,2
XI-IATI-IADB-AR-L1353,1,1,"The general objective of the Program is to contribute to the social, economic and environmental sustainability of Argentine viticulture, in particular, of small and medium producers, viticultural establishments and rural youth. As specific objectives, the program proposes to: (i) improve the productivity levels of small and medium wine producers with a focus on efficiency in the use of water resources; (ii) increase the sales of small and medium-sized wine establishments; and (iii) strengthen small and medium-sized enterprises (SMEs) in the rural sector to generate employment and increase sales with a focus on youth and women.",en,1
XI-IATI-IADB-AR-L1353,1,1,"El Objetivo General del Programa es contribuir a la sustentabilidad social, económica y ambiental de la vitivinicultura argentina, en particular, de los pequeños y medianos productores, establecimientos vitivinícolas y jóvenes rurales. Como objetivos específicos, el programa propone: (i) mejorar los niveles de productividad de pequeños y medianos productores vitivinícolas con enfoque en eficiencia del uso de recursos hídricos; (ii) incrementar las ventas de pequeños y medianos establecimientos vitivinícolas; y (iii) fortalecer las pequeñas y medianas empresas (PyMEs) del sector rural para generar empleo e incrementar ventas con un enfoque en jóvenes y mujeres.",es,2
XI-IATI-IADB-AR-L1419,1,1,"The general objective of development is to help mitigate the impact that a severe or catastrophic natural disaster could have on the country's public finances. The specific objective of development is to improve the financial management of natural disasters by increasing stable, cost-efficient, and rapidly accessible contingent financing to cover extraordinary public expenses aimed at assisting the population affected by natural disasters. This financing will support government actions in response to the flood emergency in the City of Bahía Blanca and surrounding areas affected by one of the most extreme climate events in the region.",en,1
XI-IATI-IADB-AR-L1419,1,1,"El objetivo general del desarrollo es ayudar a mitigar el impacto que un desastre natural severo o catastrófico podría tener en las finanzas públicas del país. El objetivo específico del desarrollo es mejorar la gestión financiera de los desastres naturales mediante el incremento de financiamiento contingente estable, costo-eficiente y de acceso rápido para cubrir gastos públicos extraordinarios destinados a asistir a la población afectada por desastres naturales. Este financiamiento respaldará las acciones del gobierno nacional en respuesta a la emergencia por inundaciones en la ciudad de Bahía Blanca y las áreas circundantes afectadas por uno de los eventos climáticos más extremos que ha afectado la región.",es,2
XI-IATI-IADB-AR-L1420,1,1,The overall objective of this first individual operation is to contribute to sustainable and inclusive urban development in the province of Neuquén. Its specific objectives are: (i) to comprehensively improve established urban areas; (ii) to promote the formalization and urban development of popular neighborhoods and slums; and (iii) to strengthen sustainable urban and territorial management.,en,1
XI-IATI-IADB-AR-L1420,1,1,El objetivo general de esta primera operación individual es contribuir al desarrollo urbano sostenible e inclusivo en la provincia del Neuquén. Sus objetivos específicos son: (i) mejorar de forma integral las áreas consolidadas de entornos urbanos; (ii) promover la formalización y el desarrollo urbano de barrios populares y áreas precarias; y (iii) fortalecer la gestión urbana y territorial sostenible.,es,2
XI-IATI-IADB-AR-L1421,1,1,"To drive the digital transformation of Mendoza's health system by enhancing its capacity to generate, integrate, and use health and economic information in digital format. The project aims to: (i) improve the timeliness and quality of clinical care; (ii) increase efficiency and equity in resource allocation; and (iii) promote a more personalized and proactive model of care, based on population-level data analytics and evidence to anticipate needs and guide public health interventions.",en,1
XI-IATI-IADB-AR-L1421,1,1,"Impulsar la transformación digital del sistema de salud de la Provincia de Mendoza mediante la mejora de su capacidad para generar, integrar y utilizar información sanitaria y económica en formato digital. La operación busca: (i) mejorar la oportunidad y calidad de la atención clínica; (ii) aumentar la eficiencia y la equidad en la asignación de recursos; y (iii) promover un modelo de atención más personalizado y proactivo, basado en el análisis de datos poblacionales y evidencia para anticipar necesidades y orientar intervenciones de salud pública.",es,2
XI-IATI-IADB-AR-L1095,1,1,"The main objective of the Project is to guarantee the coverage of the increasing power demand and the security of the Argentinean Interconnection System (SADI), with the object of contributing to the continuous development of the productive sectors and elevating the standard of life of the population, by rationally making use of the available generation resources of the country. The specific objectives are: i) to interconnect the electrical systems of the Northeast and Northwest Argentinean regions (NOA ¿ NEA) by using a line of extra high tension (LEAT 500kV and associated Transformation Stations) so it can permit and promote the energy exchange between both regions, improving the prices and increasing the quality and security of the electrical provision, in particular for the macro region of Norte Grande; and ii) to consolidate and expand the regional communication nets (high and med tension lines smaller than 500kV with its respective associated transformation stations), laying the foundations for the productive and social development through giving solution to the problems that attempt against the security and reliability of these systems.",en,1
XI-IATI-IADB-AR-L1095,1,1,"El objetivo general del Proyecto es el de garantizar la cobertura de la creciente demanda energética y la seguridad del Sistema Argentino de Interconexión (SADI), a efectos de contribuir al continuo desarrollo de los sectores productivos y la elevación del nivel de vida de la población, mediante el racional aprovechamiento de los recursos de generación disponibles en el país. Los objetivos específicos son: i) interconectar los sistemas eléctricos del Noroeste y Noreste Argentino (NOA-NEA) por medio de una línea en extra alta tensión (LEAT 500 kV y estaciones transformadoras asociadas) de manera de permitir y promover los intercambios de energía entre ambas regiones, mejorando los precios y aumentando la seguridad y calidad en el suministro eléctrico, en particular de la macro región del Norte Grande; y ii) consolidar y expandir las redes de transmisión regionales (líneas en alta y media tensión menores a 500 kV con sus respectivas estaciones de transformación asociadas), sentando las bases para el desarrollo social y productivo a través de dar solución a los problemas que atentan contra la seguridad y confiabilidad de estos sistemas.",es,2
XI-IATI-IADB-AR-L1243,1,1,"The objective of the conditional credit line for investment projects (CCLIP) is to enhance the quality
of life of the population in metropolitan areas by improving urban services and infrastructure. The objective of the first individual operation
is to improve public services and infrastructure in metropolitan areas that require cooperation between two or more territorial jurisdictions
by: (i) fostering an understanding of the problems facing big cities and promoting agreements to prioritize actions that require coordination
between municipal and provincial authorities of a metropolitan area; (ii) contributing to build the institutions necessary to deliver services
and infrastructure in metropolitan areas that encompass two or more territorial jurisdictions; and (iii) financing investments in urban
infrastructure and facilities to support such improvements.",en,1
XI-IATI-IADB-AR-L1243,1,1,"El objetivo de la Línea de Crédito Condicional para Proyectos de Inversión (CCLIP)
es mejorar la calidad de vida de la población en áreas metropolitanas a través del mejoramiento de los servicios y la
infraestructura urbana. El objetivo de la primera operación individual es mejorar los servicios y la infraestructura pública
en áreas metropolitanas que requieren de la concurrencia de dos o más jurisdicciones territoriales a través de:
(i) generar un entendimiento de los problemas que enfrentan las metrópolis y fomentar acuerdos de priorización de
intervenciones que requieren coordinación entre autoridades municipales y provinciales de un área metropolitana,
(ii) contribuir a la creación de las instituciones necesarias para la provisión de servicios e infraestructuras en áreas
metropolitanas que incluyen dos o más jurisdicciones territoriales, y (iii) financiar inversiones en infraestructura urbana y
equipos que apoyen dicha mejora.",es,2
XI-IATI-IADB-AR-L1008,1,1,"The general objective of the program is to support the institutional strengthening of the Argentine Senate so as to improve its parliamentary and administrative management capacity in the context of greater transparency. The program has four components: (i) support for parliamentary management and the lawmaking process; (ii) administrative and financial management of the Senate; (iii) human resources management, optimization, and training; and (iv) change management and public information.",en,1
XI-IATI-IADB-AR-L1008,1,1,"El objetivo del Programa es contribuir al fortalecimiento de los mecanismos de gobernabilidad democrática en la Argentina, a través del mejoramiento de las funciones básicas del Senado de La Nación.",es,2
XI-IATI-IADB-AR-L1004,1,1,The main objective of the project is to increase revenues generated by visitors to prioritized public tourism areas.,en,1
XI-IATI-IADB-AR-L1004,1,1,El objetivo general del proyecto es contribuir a aumentar los ingresos generados por visitantes en zonas turísticas de carácter prioritario.,es,2
XI-IATI-IADB-AR-L1013,1,1,"To increase productive chains competitiveness in the Provinces that are part of the Argentinean NOA-NEA (Norte Grande Region), through the establishment of an institutional mechanism which supports development of these productive chains showing verifiable increases in the competitiveness of the participating companies measured through increases on exports, productivity improvements, increases in dynamic market sales, etc. The purpose consists of implementing a Program that will include components which will support development, with efficient and transparent procedures, promoting associated work between companies, generally through promoter entities present in the nucleuses and/or circuits of economic activity within the region.",en,1
XI-IATI-IADB-AR-L1013,1,1,"Aumentar la competitividad de cadenas productivas ubicadas en las Provincias que integran el NOA-NEA argentino (región Norte Grande de Argentina) a través del establecimiento de un mecanismo institucional de apoyo al desarrollo competitivo de las mismas, que muestre incrementos verificables en la competitividad de las empresas participantes medido por aumentos en exportaciones, mejoramiento de la productividad, incremento de ventas a mercados dinámicos, etc. El propósito consiste en implementar un Programa que incluya componentes concursables de apoyo al desarrollo de cadenas productivas, con procedimientos eficientes y transparentes, que promueva el trabajo asociativo entre empresas, en general a través de entidades promotoras presentes en los núcleos y/o circuitos de actividad económica de la región.",es,2
XI-IATI-IADB-AR-L1063,1,1,To improve the profitability and the income sustainability of small primary producers within the grape & wine chain. Project's purpose is to attain a better and bigger integration of the actors within the grape and wine chain.,en,1
XI-IATI-IADB-AR-L1063,1,1,Mejorar la rentabilidad y estabilidad de los ingresos de los pequeños productores primarios que participan en la cadena vitivinícola. El propósito es lograr una mayor integración de los participantes en la cadena vitivinícola.,es,2
XI-IATI-IADB-AR-L1354,1,1,The general objective of the first operation is to contribute to the decarbonization of the electricity sector by reducing Green House Gas (GHG) emissions and improving human development through the expansion and modernization of electricity transmission systems.,en,1
XI-IATI-IADB-AR-L1354,1,1,El objetivo general de la primera operación es contribuir con la descarbonización del sector eléctrico al disminuir las emisiones de GEI y al desarrollo local a través de la ampliación y modernización de los sistemas de transporte de energía eléctrica.,es,2
XI-IATI-IADB-AR-L1370,1,1,The general development objective is to contribute to sustainable and resilient growth in Argentina. The specific development objectives are: (i) to strengthen the government's capacity to plan and finance climate action; (ii) promote policies that contribute to the circular economy and decarbonization; and (iii) develop a favorable framework for sustainable finance.,en,1
XI-IATI-IADB-AR-L1370,1,1,El objetivo general de desarrollo es contribuir a un crecimiento sostenible y resiliente de Argentina. Los objetivos de desarrollo específicos son: (i) fortalecer la capacidad del gobierno para la planificación y financiamiento de la acción climática; (ii) impulsar políticas que contribuyan a la economía circular y la descarbonización; y (iii) desarrollar un marco favorable para las finanzas sostenibles.,es,2
XI-IATI-IADB-AR-L1001,1,1,"The project objective is to contribute to the institutional strengthening process of the economic policy and the national development strategy. Specifically, the operation will improve the institutional capacity of the Economic Policy Secretariat for: (i) policy formulation; (ii) economic and social development strategies; and (ii) policy implementation as well as sectoral coordination.",en,1
XI-IATI-IADB-AR-L1001,1,1,"El objetivo del Proyecto es apoyar el fortalecimiento institucional de la Política Económica y la Estrategia Nacional de Desarrollo. Específicamente, la operación contribuiría a mejorar las capacidades institucionales de la Secretaría de Política Económica del Ministerio Economía para la formulación de políticas, diseño de estrategias de desarrollo económico y social, su implementación y la coordinación sectorial y de los ministerios involucrados.",es,2
XI-IATI-IADB-AR-L1012,1,1,This program seeks to continue supporting the improvement of the scientific and technological capacity of the country; promote the undertaking of innovation activities in private firms; promote the development of high-level human resources in science and technology; support cluster development; and promote an improvement in the relevance and capacity of the country's key research centers.,en,1
XI-IATI-IADB-AR-L1012,1,1,Mediante este proyecto se espera continuar el mejoramiento de la base científica y tecnológica del país; fomentar el desarrollo de actividades de innovación en empresas; promover la capacitación de recursos humanos científicos y tecnológicos de alto nivel; apoyar el desarrollo de diversos clusters; y fomentar el aumento de la relevancia y las capacidades de los centros de excelencia en el país.,es,2
XI-IATI-IADB-AR-L1020,1,1,"The primary objective of the Program is to support the improvement of the population's health, through the strengthening of the primary health care strategy as a system organizer. The specific objectives of the Program are: (i) strengthen the health planning capacities of the Ministry of Health and Environment of the Nation and the Provincial Ministries; and (ii) strengthen the Health Integral Service Network with emphasis on first and second delivery level.",en,1
XI-IATI-IADB-AR-L1020,1,1,"El objetivo general del Programa es contribuir al mejoramiento de la situación de salud de la población, mediante el fortalecimiento de la estrategia de atención primaria de la salud como organizador del sistema. Los objetivos específicos del Programa son: (i) fortalecer las capacidades de planificación sanitaria del Ministerio de Salud y Ambiente de la Nación y los Ministerios de Salud Provinciales; y (ii) fortalecer la Red de Atención Integral de Salud, con énfasis en el primer y segundo nivel de atención.",es,2
XI-IATI-IADB-AR-L1033,1,1,"The objective of the Operation is to contribute to the improvement of the competitiveness and the increase of local value added on the argentinean SMEs, through the promotion of credit access for medium and long term investments and the external professional services. Also the Program will redesign and fortify a network of local institutions of promotion of the SMEs.",en,1
XI-IATI-IADB-AR-L1033,1,1,"El fin de la Operación es contribuir a la mejora de la competitividad y al incremento de la generación de valor agregado local por parte de las MiPyMEs argentinas, mediante la promoción del acceso al crédito para inversión de mediano y largo plazo y a servicios externos profesionalizados de asistencia técnica. Asimismo el Programa tendrá como objetivo rediseñar y fortalecer una red de instituciones locales de promoción de las MiPyMEs.",es,2
XI-IATI-IADB-AR-L1418,1,1,Strengthen road connectivity to promote international trade in the province of Salta,en,1
XI-IATI-IADB-AR-L1418,1,1,Fortalecer la conectividad vial para promover el comercio internacional de la provincia de Salta,es,2
XI-IATI-IADB-AR-L1025,1,1,"The objective of the program is to provide infrastructure and improve the local capacity to provide GIRSU services in national parks and surrounding municipalities, as well as in other touristic municipalities that lay outside of the provincial solid waste collection network.",en,1
XI-IATI-IADB-AR-L1025,1,1,"El Programa tendrá por objetivos proveer infraestructura y mejorar la capacidad de provisión de servicios para GIRSU en parques nacionales y municipios colindantes, y en otros municipios turísticos que caen fuera de los ejes provinciales de recolección de residuos sólidos.",es,2
XI-IATI-IADB-AR-L1038,1,1,"To support the implementation of the Education Financing Law and the General Education. Those laws are the basis of the Argentinean education strategy for the next five years. The specific objectives are: (i) quality improvement; (ii) to assure access and completion of basic and secondary education for kids from the poorer families; (iii) increase in the school day for schools in poorer areas; (iv) higher completion rates in secondary education; and (v) improvements in learning and use of information technology and communication. The specific activities include, scholarships, textbooks and education materials, school improvement projects in schools located in poorer neighborhoods; financing of school infrastructure and equipment; and upgraded of school facilities.",en,1
XI-IATI-IADB-AR-L1038,1,1,"Apoyar la implementación de las Leyes de Educación Nacional y de Financiamiento Educativo. Dichas leyes establecen las líneas estratégicas sectoriales en las cuales se enmarcará el desarrollo educativo del país en los próximos años. Entre los objetivos específicos se destacan: (i) el mejoramiento de la calidad; (ii) el alcance de mayores niveles de equidad en el sistema; (iii) la expansión de cobertura inicial y secundaria, y de la jornada extendida en el nivel primario; (iv) la garantía de la permanencia y el egreso en los diferentes niveles del sistema educativo; y (v) el desarrollo de competencias y mejora de los aprendizajes mediante el uso de las nuevas tecnologías de información y comunicación. Las intervenciones especificas incluyen becas, textos y material educativo y proyectos complementarios en las escuelas que atienden a población de bajos recursos; el financiamiento de infraestructura, dotación y equipamiento de escuelas; así como también la reparación de escuelas existentes.",es,2
XI-IATI-IADB-AR-L1298,1,1,"The objective of the programmatic series is to help reduce gender inequality in Argentina, by fostering the effective and timely implementation of policies to enhance equality of opportunity and promote the rights of women and girls. The objectives of this first operation are to help reduce gender inequality in Argentina by strengthening the regulatory and institutional framework for promoting the physical and economic autonomy of women and improving government capacity to mainstream gender policies.",en,1
XI-IATI-IADB-AR-L1298,1,1,"El objetivo de la serie programática es contribuir a reducir la desigualdad de género en Argentina, promoviendo la efectiva y oportuna implementación de políticas dirigidas a incrementar la igualdad de oportunidades y derechos de las mujeres y niñas. El objetivo de esta primera operación es contribuir a reducir la desigualdad de género en Argentina, a través del fortalecimiento del marco normativo e institucional dirigido a promover la autonomía física y económica de las mujeres y de la capacidad de gestión pública de las políticas de género",es,2
XI-IATI-IADB-AR-L1303,1,1,"The objective of the program is to contribute to the transparency and integrity of public management through regulations and mechanisms to promote access to information. This second operation will deepen progress in the following areas: (i) regulation of the legislation on access to public information and consolidation of the rules for ethical conduct of public officials; (ii) consolidation of the regulations and mechanisms for management of State resources in relation to public works contracting, public procurement, and public sector employment; and (iii) management of the financial sector. This is the second of two consecutive operations that are linked technically but financed independently under the programmatic policy-based loan (PBP) modality.",en,1
XI-IATI-IADB-AR-L1303,1,1,"El objetivo del programa es contribuir a la transparencia e integridad de la gestión pública mediante regulaciones y mecanismos que promuevan el acceso a la información. En esta segunda operación, se profundiza el abordaje de las siguientes materias: (i) la regulación de la legislación de acceso a la información pública y la consolidación de regímenes de conducta ética de los funcionarios públicos; (ii) la consolidación de las regulaciones y mecanismos para la gestión de los recursos del Estado Nacional en lo referido a las contrataciones de obra pública y compras públicas, y al empleo público; y (iii) la gestión del sector financiero. La presente operación es la segunda de dos consecutivas, vinculadas técnicamente entre sí, pero financiadas de forma independiente, bajo la modalidad de Préstamo Programático de Apoyo a Reformas de Política (PBP).",es,2
XI-IATI-IADB-AR-L1415,1,1,The general objective of development is to strengthen Argentina's balance of payments. The specific development objective of this operation is to improve the monetary and exchange rate policy framework.,en,1
XI-IATI-IADB-AR-L1415,1,1,El objetivo general de desarrollo es fortalecer la balanza de pagos de Argentina. El objetivo específico de desarrollo de esta operación es mejorar el marco de política monetaria y cambiaria.,es,2
XI-IATI-IADB-AR-L1281,1,1,"The objective of the program is to promote private participation in productive investment to contribute to economic growth in Argentina. The program will help mitigate the risks that inhibit private financing for productive development through: (i) attracting a significant volume of private investment (institutional investors, international investors and other national or multilateral institutions); and (ii) promote efficient financing of a portfolio of private productive infrastructure projects, which matches the investors' performance, risk and term needs with the long-term needs of the projects.",en,1
XI-IATI-IADB-AR-L1281,1,1,"El objetivo del programa es promover la participación privada en inversión productiva para contribuir al crecimiento económico en Argentina. El programa contribuirá a mitigar los riesgos que inhiben el financiamiento privado para el desarrollo productivo a través de: (i) atraer un volumen significativo de inversión privada (inversionistas institucionales, inversores internacionales y otras instituciones nacionales o multilaterales); y (ii) promover un financiamiento eficiente de un portafolio de proyectos de infraestructura productiva privada, que acople las necesidades de rendimiento, riesgo y plazo de los inversionistas con las necesidades de largo plazo de los proyectos.",es,2
XI-IATI-IADB-AR-L1355,1,1,"The multisector objective of the CCLIP is to contribute to increasing the number of children from 0 to 5 years of age who reach a level of physical, language and communication and socio-emotional skills expected for their age. The second operation of the CCLIP aims to increase the coverage and quality of institutions and public care and education services aimed at promoting the development of physical, language and communication, cognitive and socio-emotional skills of children from 0 to 5 years old .",en,1
XI-IATI-IADB-AR-L1355,1,1,"El objetivo multisectorial de la CCLIP es contribuir a incrementar el número de niños de 0 a 5 años que alcanza un nivel de habilidades físicas, de lenguaje y comunicación y socioemocionales esperables para su edad. La segunda operación de la CCLIP tiene por objetivo incrementar la cobertura y la calidad de instituciones yde servicios públicos de cuidado y educación dirigidos a la promoción del desarrollo de las habilidades físicas, de lenguaje y comunicación, cognitivas y socioemocionales de niños de 0 a 5 años.",es,2
XI-IATI-IADB-AR-L1356,1,1,"The general development objective of the program is to contribute to the recovery of production and support the sustainability of employment in the Province of Neuquén. The specific development objective of the program is to provide beneficiary Micro, Small and Medium Enterprises (MSMEs) that operate in the Province of Neuquén with productive financing.",en,1
XI-IATI-IADB-AR-L1356,1,1,"El objetivo general de desarrollo del programa es contribuir a la recuperación de la producción y apoyar la sostenibilidad del empleo en la Provincia del Neuquén. El objetivo específico de desarrollo del programa es proveer a empresas Micro, Pequeñas y Medianas Empresas (MIPYME) beneficiarias que operan en la Provincia del Neuquén, de financiamiento productivo.",es,2
XI-IATI-IADB-AR-L1335,1,1,"The general objective of the Program is to contribute to the improvement of productivity, marketing and added value in Argentine agro-industrial production, with a focus on adaptation to climate change. The specific objectives are: (i) increase the coverage and quality of public infrastructure services in the areas to be intervened; and (ii) increase the adoption of technologies that promote economic profitability and environmental sustainability, and increase the adoption of product differentiation tools.",en,1
XI-IATI-IADB-AR-L1335,1,1,"El objetivo general del Programa es contribuir a la mejora en la productividad, la comercialización y el agregado de valor en la producción agroindustrial argentina, con enfoque de adaptación al cambio climático. Los objetivos específicos son: (i) incrementar la cobertura y calidad de los servicios de infraestructura pública en las zonas a intervenir; y (ii) aumentar la adopción de tecnologías que fomenten la rentabilidad económica y la sostenibilidad ambiental, y aumentar la adopción de herramientas de diferenciación de producto.",es,2
