activity_identifier,transaction_ref,transaction_type,transaction_date,value,currency,value_date,description,provider_org_ref,provider_org_name,provider_org_type,receiver_org_ref,receiver_org_name,receiver_org_type,receiver_org_activity_id,disbursement_channel,flow_type,finance_type,aid_type,tied_status,humanitarian,recipient_region
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,,4,2017-12-31,26.0000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,,2,2016-01-01,95298.9500000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,,11,2016-01-01,37324.5000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,,11,2016-01-01,30411.7000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,,4,2017-12-31,47633.3000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,,4,2017-12-31,34.9000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,,4,2017-12-31,20068.0000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,2,2016-01-01,45854.9000000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,11,2016-01-01,24577.8000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,11,2016-01-01,8014.8000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,4,2017-12-31,11966.9000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,4,2017-12-31,36.0000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,4,2017-12-31,73.5000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,4,2017-12-31,20420.8000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,,2,2016-01-01,88619.8700000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,,11,2016-01-01,62988.9000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,,4,2017-12-31,9181.8000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,,4,2017-12-31,21348.6000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,,4,2017-12-31,742.1000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,,4,2017-12-31,31716.4000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,,2,2016-01-01,16889.8700000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,,11,2016-01-01,4864.5000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,,11,2016-01-01,7140.4000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,,4,2017-12-31,8652.3000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,,4,2017-12-31,25.4000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,,4,2017-12-31,3324.8000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,,2,2016-01-01,85736.9400000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,,11,2016-01-01,52107.5000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,,11,2016-01-01,8832.3000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,,4,2017-12-31,49732.7000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,,4,2017-12-31,7145.2000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,,4,2017-12-31,4058.9000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,,2,2016-01-01,9411.9600000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,,11,2016-01-01,6000.0000,USD,2016-01-01,,DAC-1601,Bill &amp; Melinda Gates Foundation,60,XM-DAC-928,World Health Organization,40,,,30,,4,,,
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,,4,2017-12-31,4985.4000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,4,,,
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,,4,2017-12-31,1013.7000,USD,2017-12-31,Medical supplies and materials,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,4,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,,2,2016-01-01,12003.9100000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,,11,2016-01-01,11492.0000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,,4,2017-12-31,3215.1000,USD,2017-12-31,Contractual services,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,,4,2017-12-31,7846.4000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,,2,2016-01-01,15856.9800000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,,11,2016-01-01,15180.8000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,,4,2017-12-31,291.1000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,,4,2017-12-31,14889.7000,USD,2017-12-31,Travel,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,,2,2016-01-01,38422.2100000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,,11,2016-01-01,36783.7000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,40,,1,,,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,,4,2017-12-31,36488.5000,USD,2017-12-31,Staff and other personnel costs,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,,2,2016-01-01,529.1400000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,,11,2016-01-01,506.6000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,20,,1,,,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,,4,2017-12-31,583.9000,USD,2017-12-31,General operating expenses,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,1,,,
XM-DAC-928-AR-2016-17-06.004.AM01.ARG03,,2,2016-01-01,12118.0500000000,USD,2016-01-01,,XM-DAC-928,World Health Organization,40,XM-DAC-928,World Health Organization,40,,,,,,,,
